price,rooms,size_sqm,floor,address,link,source,price_per_sqm
3900.0,2.0,60.0,קרקע,שירלי נדל'ן | גן יבנה מערב,https://www.yad2.co.il/realestate/item/south/fmy1czlc?opened-from=feed&component-type=main_feed&spot=platinum&location=1,rent,65.0
7000.0,4.5,200.0,קרקע,"אמסי נדל""ן - Amsi | בית פרטי/ קוטג'",https://www.yad2.co.il/realestate/item/south/r9w9jnsy?opened-from=feed&component-type=main_feed&spot=platinum&location=2,rent,35.0
4200.0,3.0,75.0,קרקע,"כלנית 8 | יחידת דיור, נווה גן, גן יבנה",https://www.yad2.co.il/realestate/item/south/dh10kx9q?opened-from=feed&component-type=main_feed&spot=standard&location=3,rent,56.0
6850.0,4.0,105.0,2,"שיר השירים 6 | דירה, שאר העיר, גן יבנה",https://www.yad2.co.il/realestate/item/south/578ru95c?opened-from=feed&component-type=main_feed&spot=standard&location=4,rent,65.24
6000.0,3.0,95.0,קרקע,"הקציר 10 | יחידת דיור, גן יבנה מערב, גן יבנה",https://www.yad2.co.il/realestate/item/south/6284m8li?opened-from=feed&component-type=main_feed&spot=standard&location=5,rent,63.16
7500.0,3.5,138.0,קרקע,"שיר השירים 13 | דירת גן, גן יבנה מערב, גן יבנה",https://www.yad2.co.il/realestate/item/south/yab7lccn?opened-from=feed&component-type=main_feed&spot=standard&location=6,rent,54.35
4900.0,2.5,80.0,קרקע,ירד ב-300 ₪ | נתן אלתרמן 33,https://www.yad2.co.il/realestate/item/south/15yrr8r1?opened-from=feed&component-type=main_feed&spot=standard&location=7,rent,61.25
5800.0,4.0,410.0,2,"יוסף יבנאי 2 | דירה, המושבה הגרמנית, גן יבנה",https://www.yad2.co.il/realestate/item/south/0jztudxj?opened-from=feed&component-type=main_feed&spot=standard&location=8,rent,14.15
4000.0,2.5,80.0,קרקע,"הרצל 1 | יחידת דיור, נאות הדרים, גן יבנה",https://www.yad2.co.il/realestate/item/south/nmk7719q?opened-from=feed&component-type=main_feed&spot=standard&location=9,rent,50.0
800.0,1.0,12.0,קרקע,"שיר השירים 9 | מחסן, גן יבנה מערב, גן יבנה",https://www.yad2.co.il/realestate/item/south/47gxw2d3?opened-from=feed&component-type=main_feed&spot=standard&location=10,rent,66.67
7500.0,4.0,230.0,1,"שיר השירים 58 | דירת גן, גן יבנה מערב, גן יבנה",https://www.yad2.co.il/realestate/item/south/1oxp7gax?opened-from=feed&component-type=main_feed&spot=standard&location=11,rent,32.61
3800.0,3.0,70.0,3,"שבזי 10 | דירה, גבעת שמשון, גן יבנה",https://www.yad2.co.il/realestate/item/south/oypcrj4z?opened-from=feed&component-type=main_feed&spot=standard&location=12,rent,54.29
3800.0,2.0,40.0,1,"מתתיהו 28 | יחידת דיור, נאות המכבים, גן יבנה",https://www.yad2.co.il/realestate/item/south/os2tcggp?opened-from=feed&component-type=main_feed&spot=standard&location=13,rent,95.0
4600.0,2.0,87.0,קרקע,"יוסף יבנאי 23 | יחידת דיור, המושבה הגרמנית, גן יבנה",https://www.yad2.co.il/realestate/item/south/smxrqqw5?opened-from=feed&component-type=main_feed&spot=standard&location=14,rent,52.87
9400.0,5.0,170.0,קרקע,"שלדג 11 | בית פרטי/ קוטג', גבעת שמשון, גן יבנה",https://www.yad2.co.il/realestate/item/south/fq59330u?opened-from=feed&component-type=main_feed&spot=standard&location=15,rent,55.29
7900.0,4.5,370.0,קרקע,ירד ב-900 ₪ | הרב קוק 1,https://www.yad2.co.il/realestate/item/south/fhko6dhy?opened-from=feed&component-type=main_feed&spot=standard&location=16,rent,21.35
5900.0,3.0,83.0,3,"עופרה 9 | דירה, גן יבנה מערב, גן יבנה",https://www.yad2.co.il/realestate/item/south/niksuwnb?opened-from=feed&component-type=main_feed&spot=standard&location=17,rent,71.08
3000.0,2.0,45.0,1,ירד ב-300 ₪ | נרקיס 9,https://www.yad2.co.il/realestate/item/south/5t21p3kg?opened-from=feed&component-type=main_feed&spot=standard&location=18,rent,66.67
4000.0,3.0,80.0,2,"התבור 5 | דירה, נאות המכבים, גן יבנה",https://www.yad2.co.il/realestate/item/south/ulgvm3v2?opened-from=feed&component-type=main_feed&spot=standard&location=19,rent,50.0
3500.0,2.0,60.0,1,"תור 6 | יחידת דיור, גבעת שמשון, גן יבנה",https://www.yad2.co.il/realestate/item/south/ti0s0lnc?opened-from=feed&component-type=main_feed&spot=standard&location=20,rent,58.33
5700.0,3.0,250.0,קרקע,"מצדה 20 | בית פרטי/ קוטג', נאות המכבים, גן יבנה",https://www.yad2.co.il/realestate/item/south/kqxm4nbp?opened-from=feed&component-type=main_feed&spot=standard&location=21,rent,22.8
4000.0,2.0,48.0,קרקע,ירד ב-500 ₪ | הסייפן 3,https://www.yad2.co.il/realestate/item/south/gadoji1h?opened-from=feed&component-type=main_feed&spot=standard&location=22,rent,83.33
2385000.0,4.0,101.0,קרקע,פרויקט במבצע | נופי השפלה,https://www.yad2.co.il/yad1/project/south/19095/apartment/1010018?wat=1_0_0_0_22_0_0_23_0_1_61_10_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_16223_r_ws_ListingBasic_1010018,rent,23613.86
,6.0,13.0,2-8,פרויקט במבצע | פרויקט K גדרה קבוצת נחמיאס,https://www.yad2.co.il/yad1/project/south/18019/apartment/1003560?wat=1_0_0_0_22_0_0_24_0_1_55_10_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15224_r_ws_ListingPro_1003560,rent,
12500.0,6.0,470.0,קרקע,שירלי נדל'ן | המושבה הגרמנית,https://www.yad2.co.il/realestate/item/south/5z7ze2ea?opened-from=feed&component-type=main_feed&spot=standard&location=25,rent,26.6
8500.0,6.0,250.0,קרקע,"א.ג.נ נדל""ן | הבר",https://www.yad2.co.il/realestate/item/south/i9usdwpy?opened-from=feed&component-type=main_feed&spot=standard&location=26,rent,34.0
8500.0,4.0,150.0,קרקע,תיווך ניו יורק | גן יבנה מערב,https://www.yad2.co.il/realestate/item/south/29q6t11w?opened-from=feed&component-type=main_feed&spot=standard&location=27,rent,56.67
3500.0,1.0,20.0,קרקע,עידן נכסים גן יבנה | כללי,https://www.yad2.co.il/realestate/item/south/jflt390q?opened-from=feed&component-type=main_feed&spot=standard&location=28,rent,175.0
3500.0,2.0,40.0,קרקע,"אמסי נדל""ן - Amsi | המושבה הגרמנית",https://www.yad2.co.il/realestate/item/south/5lrs4obm?opened-from=feed&component-type=main_feed&spot=standard&location=29,rent,87.5
,6.0,150.0,קרקע,תיווך ישראל | לא צוין מחיר,https://www.yad2.co.il/realestate/item/south/ylp5khye?opened-from=feed&component-type=main_feed&spot=standard&location=30,rent,
6200.0,3.5,175.0,קרקע,תיווך ניו יורק | נאות הדרים,https://www.yad2.co.il/realestate/item/south/ee48izm1?opened-from=feed&component-type=main_feed&spot=standard&location=31,rent,35.43
3900.0,2.0,60.0,קרקע,שירלי נדל'ן | גן יבנה מערב,https://www.yad2.co.il/realestate/item/south/fmy1czlc?opened-from=feed&component-type=main_feed&spot=standard&location=32,rent,65.0
10500.0,5.0,300.0,קרקע,"א.ג.נ נדל""ן | חלמיש",https://www.yad2.co.il/realestate/item/south/45qkrp4t?opened-from=feed&component-type=main_feed&spot=standard&location=33,rent,35.0
9800.0,6.0,350.0,קרקע,"נוריאל מנצור - ""וי האוס"" | גבעת שמשון",https://www.yad2.co.il/realestate/item/south/5vx3fzeh?opened-from=feed&component-type=main_feed&spot=standard&location=34,rent,28.0
8650.0,5.0,250.0,קרקע,תיווך ניו יורק | בית פרטי/ קוטג',https://www.yad2.co.il/realestate/item/south/siis2gl1?opened-from=feed&component-type=main_feed&spot=standard&location=35,rent,34.6
8000.0,6.0,140.0,קרקע,תיווך ניו יורק | נאות המכבים,https://www.yad2.co.il/realestate/item/south/nrovg86d?opened-from=feed&component-type=main_feed&spot=standard&location=36,rent,57.14
7000.0,4.5,200.0,קרקע,"אמסי נדל""ן - Amsi | בית פרטי/ קוטג'",https://www.yad2.co.il/realestate/item/south/r9w9jnsy?opened-from=feed&component-type=main_feed&spot=standard&location=37,rent,35.0
10500.0,5.0,270.0,קרקע,"רן כרמי נדל""ן | גן יבנה מערב",https://www.yad2.co.il/realestate/item/south/u12r38h8?opened-from=feed&component-type=main_feed&spot=standard&location=38,rent,38.89
,6.0,375.0,קרקע,יהלום הנכס | לא צוין מחיר,https://www.yad2.co.il/realestate/item/south/cev19tio?opened-from=feed&component-type=main_feed&spot=standard&location=39,rent,
11500.0,6.0,350.0,קרקע,Get more | הרב הרצוג,https://www.yad2.co.il/realestate/item/south/d6hl3n63?opened-from=feed&component-type=main_feed&spot=standard&location=40,rent,32.86
