purchase_price,rooms,size_sqm,address,avg_comparable_rent,comparable_rent_count,estimated_gross_yield,link
2950000.0,,350.0,שירלי נדל'ן | נאות הפרחים,9100.0,5,0.037,https://www.yad2.co.il/realestate/item/south/s9e76adt?opened-from=feed&component-type=main_feed&spot=platinum&location=1
3690000.0,6.0,250.0,"אמסי נדל""ן - Amsi | גן יבנה מערב",8500.0,1,0.0276,https://www.yad2.co.il/realestate/item/south/i1727qf6?opened-from=feed&component-type=main_feed&spot=platinum&location=2
5500000.0,7.0,361.0,חדש מקבלן | בית וגן אושרי,,0,,https://www.yad2.co.il/realestate/item/south/rehw17u5?opened-from=feed&component-type=main_feed&spot=platinum&location=3
2385000.0,4.0,101.0,פרויקט במבצע | נופי השפלה,1195925.0,2,6.0172,https://www.yad2.co.il/yad1/project/south/19095/apartment/1010018?wat=1_0_0_0_22_0_0_4_0_1_61_0_0_77&isRegion=true&matchPrecision=full&isAbTest=true&site=_inres_x1_l_16104_s_ws_ListingBasic_1010018
300000.0,,250.0,"האתרוג 10 | מגרשים, נאות הדרים, גן יבנה",8168.75,8,0.3268,https://www.yad2.co.il/realestate/item/south/qrcs1nh4?opened-from=feed&component-type=main_feed&spot=standard&location=5
,5.0,117.0,פרויקט חדש | נופי יורם נתיבות,,0,,https://www.yad2.co.il/yad1/project/south/17371/apartment/1002856?wat=1_0_0_0_22_0_0_6_0_1_53_0_0_77&isRegion=true&site=_inres_x1_l_18106_s_ws_Solo_1002856
4300000.0,5.0,330.0,"מורלי בלנקשטיין 4 | בית פרטי/ קוטג', נאות הפרחים, גן יבנה",10500.0,2,0.0293,https://www.yad2.co.il/realestate/item/south/mx3eaa67?opened-from=feed&component-type=main_feed&spot=standard&location=7
600000.0,,1000.0,"האתרוג 2 | מגרשים, נאות הדרים, גן יבנה",,0,,https://www.yad2.co.il/realestate/item/south/elzja02i?opened-from=feed&component-type=main_feed&spot=standard&location=8
2000000.0,,500.0,"הרצל 1 | מגרשים, נאות הדרים, גן יבנה",9150.0,2,0.0549,https://www.yad2.co.il/realestate/item/south/5cayp1xi?opened-from=feed&component-type=main_feed&spot=standard&location=9
4450000.0,4.5,370.0,"הורד 32 | בית פרטי/ קוטג', נאות הפרחים, גן יבנה",7900.0,1,0.0213,https://www.yad2.co.il/realestate/item/south/oqp1pao6?opened-from=feed&component-type=main_feed&spot=standard&location=10
8490000.0,8.0,520.0,"יוסף יבנאי 14 | בית פרטי/ קוטג', המושבה הגרמנית, גן יבנה",,0,,https://www.yad2.co.il/realestate/item/south/ompbzu0g?opened-from=feed&component-type=main_feed&spot=standard&location=11
2950000.0,5.0,200.0,"תותחנים 6 | בית פרטי/ קוטג', המושבה הגרמנית, גן יבנה",9400.0,1,0.0382,https://www.yad2.co.il/realestate/item/south/w88w64mk?opened-from=feed&component-type=main_feed&spot=standard&location=12
4500000.0,5.5,375.0,"שבו 8 | בית פרטי/ קוטג', נאות הפרחים, גן יבנה",,0,,https://www.yad2.co.il/realestate/item/south/be5e06bv?opened-from=feed&component-type=main_feed&spot=standard&location=13
3850000.0,5.0,152.0,"שיר השירים 8 | גג/ פנטהאוז, שאר העיר, גן יבנה",9400.0,1,0.0293,https://www.yad2.co.il/realestate/item/south/7pvbu10k?opened-from=feed&component-type=main_feed&spot=standard&location=14
2750000.0,4.0,226.0,"שמעון 11 | בית פרטי/ קוטג', נאות המכבים, גן יבנה",7500.0,1,0.0327,https://www.yad2.co.il/realestate/item/south/snzv06dj?opened-from=feed&component-type=main_feed&spot=standard&location=15
4900000.0,7.0,380.0,"ההדרים 30 | בית פרטי/ קוטג', שיכון עובדים, גן יבנה",,0,,https://www.yad2.co.il/realestate/item/south/yoz91052?opened-from=feed&component-type=main_feed&spot=standard&location=16
4190000.0,5.5,355.0,"אחוזה 17 | בית פרטי/ קוטג', נאות הדרים, גן יבנה",,0,,https://www.yad2.co.il/realestate/item/south/vse0wnw1?opened-from=feed&component-type=main_feed&spot=standard&location=17
3250000.0,6.0,230.0,"המגן 4 | בית פרטי/ קוטג', נאות המכבים, גן יבנה",8500.0,1,0.0314,https://www.yad2.co.il/realestate/item/south/3dh3y5fi?opened-from=feed&component-type=main_feed&spot=standard&location=18
,4.0,340.0,לא צוין מחיר | אחוזה 15,,0,,https://www.yad2.co.il/realestate/item/south/jyhx1t34?opened-from=feed&component-type=main_feed&spot=standard&location=19
2600000.0,4.0,127.0,"שיר השירים 6 | דירה, שאר העיר, גן יבנה",7675.0,2,0.0354,https://www.yad2.co.il/realestate/item/south/pagnyh5d?opened-from=feed&component-type=main_feed&spot=standard&location=20
4100000.0,6.0,345.0,"אחוזה 6 | בית פרטי/ קוטג', נאות הדרים, גן יבנה",10650.0,2,0.0312,https://www.yad2.co.il/realestate/item/south/ynzi8i1h?opened-from=feed&component-type=main_feed&spot=standard&location=21
2700000.0,4.0,112.0,"עופרה 22 | דירה, גן יבנה מערב, גן יבנה",1195925.0,2,5.3152,https://www.yad2.co.il/realestate/item/south/l2h5upja?opened-from=feed&component-type=main_feed&spot=standard&location=22
3950000.0,5.0,400.0,"צה""ל 45 | בית פרטי/ קוטג', נאות הפרחים, גן יבנה",,0,,https://www.yad2.co.il/realestate/item/south/6p1i8htr?opened-from=feed&component-type=main_feed&spot=standard&location=23
3070000.0,5.0,150.0,"שיר השירים 50 | דירה, גן יבנה מערב, גן יבנה",9400.0,1,0.0367,https://www.yad2.co.il/realestate/item/south/jij8tquo?opened-from=feed&component-type=main_feed&spot=standard&location=24
5000000.0,5.0,375.0,"הדקל 8 | דו משפחתי, נאות הפרחים, גן יבנה",10500.0,1,0.0252,https://www.yad2.co.il/realestate/item/south/hnn1a2jp?opened-from=feed&component-type=main_feed&spot=standard&location=25
,4.0,7.0,פרויקט במבצע | פרויקט K גדרה קבוצת נחמיאס,,0,,https://www.yad2.co.il/yad1/project/south/18019/apartment/1003558?wat=1_0_0_0_22_0_0_26_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15126_s_ws_ListingPro_1003558
2850000.0,6.0,330.0,עידן נכסים גן יבנה | בית פרטי/ קוטג',10650.0,2,0.0448,https://www.yad2.co.il/realestate/item/south/cumdr5an?opened-from=feed&component-type=main_feed&spot=standard&location=27
5750000.0,6.0,378.0,חדש מקבלן | בית וגן אושרי,10650.0,2,0.0222,https://www.yad2.co.il/realestate/item/south/jclvnfqx?opened-from=feed&component-type=main_feed&spot=standard&location=28
4790000.0,9.0,420.0,"אמסי נדל""ן - Amsi | בית פרטי/ קוטג'",,0,,https://www.yad2.co.il/realestate/item/south/zc3r2trj?opened-from=feed&component-type=main_feed&spot=standard&location=29
