purchase_price,rooms,size_sqm,address,avg_comparable_rent,comparable_rent_count,estimated_gross_yield,link
2529000.0,2.0,37.0,ONE REAL ESTATE | בן יהודה 185,6576.67,3,0.0312,https://www.yad2.co.il/realestate/item/tel-aviv-area/x2zs0ey2?opened-from=feed&component-type=main_feed&spot=platinum&location=1
4050000.0,2.5,74.0,הומלי בא לי בית HOMERUN | שדרות נורדאו,7866.67,3,0.0233,https://www.yad2.co.il/realestate/item/tel-aviv-area/welgbwc6?opened-from=feed&component-type=main_feed&spot=platinum&location=2
5950000.0,4.0,106.0,ששון נכסים | יהושע בן נון,16166.67,3,0.0326,https://www.yad2.co.il/realestate/item/tel-aviv-area/q2gvnirv?opened-from=feed&component-type=main_feed&spot=platinum&location=3
12200000.0,4.0,5.0,פרויקט חדש | אלכסנדר ינאי 12-14,,0,,https://www.yad2.co.il/yad1/project/tel-aviv-area/6710/apartment/1006395?wat=1_0_0_0_22_0_0_5_0_1_61_0_0_77&isRegion=true&matchPrecision=full&isAbTest=true&site=_inres_x1_l_16105_s_ws_ListingBasic_1006395
4550000.0,3.0,81.0,החל מ- | הצפון החדש - צפון,9762.5,8,0.0257,https://www.yad2.co.il/realestate/item/tel-aviv-area/6d32nu3m?opened-from=feed&component-type=main_feed&spot=look_alike&location=999
4750000.0,2.5,63.0,"אד""ם הכהן 12 | דירה, הצפון הישן - צפון, תל אביב יפו",7866.67,3,0.0199,https://www.yad2.co.il/realestate/item/tel-aviv-area/vjnc79kt?opened-from=feed&component-type=main_feed&spot=standard&location=6
,4.0,,פרויקט חדש | הסבוראים 9,14875.0,4,,https://www.yad2.co.il/yad1/project/tel-aviv-area/11061/apartment/1000479?wat=1_0_0_0_22_0_0_7_0_1_53_0_0_77&isRegion=true&site=_inres_x1_l_18107_s_ws_Solo_1000479
4800000.0,3.0,86.0,"יפה נוף 4 | דירה, הצפון הישן - צפון, תל אביב יפו",9675.0,8,0.0242,https://www.yad2.co.il/realestate/item/tel-aviv-area/bicz6cev?opened-from=feed&component-type=main_feed&spot=standard&location=8
3650000.0,2.5,65.0,"אלחריזי 7 | דירה, הצפון הישן - צפון, תל אביב יפו",7866.67,3,0.0259,https://www.yad2.co.il/realestate/item/tel-aviv-area/yojem76s?opened-from=feed&component-type=main_feed&spot=standard&location=9
2750000.0,2.0,40.0,"דיזנגוף 330 | דירה, הצפון הישן - צפון, תל אביב יפו",6232.5,4,0.0272,https://www.yad2.co.il/realestate/item/tel-aviv-area/w5v1sfo0?opened-from=feed&component-type=main_feed&spot=standard&location=10
