price,rooms,size_sqm,floor,address,link,source,price_per_sqm
2529000.0,2.0,37.0,3,ONE REAL ESTATE | בן יהודה 185,https://www.yad2.co.il/realestate/item/tel-aviv-area/x2zs0ey2?opened-from=feed&component-type=main_feed&spot=platinum&location=1,sale,68351.35
4050000.0,2.5,74.0,4,הומלי בא לי בית HOMERUN | שדרות נורדאו,https://www.yad2.co.il/realestate/item/tel-aviv-area/welgbwc6?opened-from=feed&component-type=main_feed&spot=platinum&location=2,sale,54729.73
5950000.0,4.0,106.0,5,ששון נכסים | יהושע בן נון,https://www.yad2.co.il/realestate/item/tel-aviv-area/q2gvnirv?opened-from=feed&component-type=main_feed&spot=platinum&location=3,sale,56132.08
12200000.0,4.0,5.0,6,פרויקט חדש | אלכסנדר ינאי 12-14,https://www.yad2.co.il/yad1/project/tel-aviv-area/6710/apartment/1006395?wat=1_0_0_0_22_0_0_5_0_1_61_0_0_77&isRegion=true&matchPrecision=full&isAbTest=true&site=_inres_x1_l_16105_s_ws_ListingBasic_1006395,sale,2440000.0
4550000.0,3.0,81.0,3,החל מ- | הצפון החדש - צפון,https://www.yad2.co.il/realestate/item/tel-aviv-area/6d32nu3m?opened-from=feed&component-type=main_feed&spot=look_alike&location=999,sale,56172.84
4750000.0,2.5,63.0,4,"אד""ם הכהן 12 | דירה, הצפון הישן - צפון, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/vjnc79kt?opened-from=feed&component-type=main_feed&spot=standard&location=6,sale,75396.83
,4.0,,8,פרויקט חדש | הסבוראים 9,https://www.yad2.co.il/yad1/project/tel-aviv-area/11061/apartment/1000479?wat=1_0_0_0_22_0_0_7_0_1_53_0_0_77&isRegion=true&site=_inres_x1_l_18107_s_ws_Solo_1000479,sale,
4800000.0,3.0,86.0,3,"יפה נוף 4 | דירה, הצפון הישן - צפון, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/bicz6cev?opened-from=feed&component-type=main_feed&spot=standard&location=8,sale,55813.95
3650000.0,2.5,65.0,1,"אלחריזי 7 | דירה, הצפון הישן - צפון, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/yojem76s?opened-from=feed&component-type=main_feed&spot=standard&location=9,sale,56153.85
2750000.0,2.0,40.0,קרקע,"דיזנגוף 330 | דירה, הצפון הישן - צפון, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/w5v1sfo0?opened-from=feed&component-type=main_feed&spot=standard&location=10,sale,68750.0
4000000.0,2.0,52.0,קרקע,"בן יהודה 184 | דירה, הצפון הישן - צפון, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/xxy0er7h?opened-from=feed&component-type=main_feed&spot=standard&location=11,sale,76923.08
3920000.0,2.5,67.0,3,"עמנואל הרומי 24 | דירה, הצפון הישן - צפון, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/pt62vmc4?opened-from=feed&component-type=main_feed&spot=standard&location=12,sale,58507.46
3100000.0,2.0,48.0,1,"דיזנגוף 170 | דירה, הצפון הישן - צפון, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/tmgo6fgo?opened-from=feed&component-type=main_feed&spot=standard&location=13,sale,64583.33
4400000.0,4.0,95.0,קרקע,"מצדה 3 | מרתף/ פרטר, הצפון הישן - צפון, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/55s91cbr?opened-from=feed&component-type=main_feed&spot=standard&location=14,sale,46315.79
5975000.0,4.0,108.0,1,"שדרות נורדאו 46 | דירה, הצפון הישן - צפון, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/s5ncsmq1?opened-from=feed&component-type=main_feed&spot=standard&location=15,sale,55324.07
3700000.0,3.5,78.0,4,"דיזנגוף 269 | דירה, הצפון הישן - צפון, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/xbe2237p?opened-from=feed&component-type=main_feed&spot=standard&location=16,sale,47435.9
4999999.0,3.0,96.0,קרקע,"דיזנגוף 336 | דירת גן, הצפון הישן - צפון, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/4lbczvu2?opened-from=feed&component-type=main_feed&spot=standard&location=17,sale,52083.32
4500000.0,2.0,67.0,1,"יהושע בן נון 46 | דירה, הצפון הישן - צפון, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/sb0slhkj?opened-from=feed&component-type=main_feed&spot=standard&location=18,sale,67164.18
3650000.0,1.5,40.0,קרקע,"הירקון 179 | דירה, הצפון הישן - צפון, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/3hgeykd9?opened-from=feed&component-type=main_feed&spot=standard&location=19,sale,91250.0
3490000.0,2.5,67.0,3,"שדרות בן גוריון 43 | דירה, הצפון הישן - צפון, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/za71aa6h?opened-from=feed&component-type=main_feed&spot=standard&location=20,sale,52089.55
2600000.0,2.0,50.0,קרקע,"2,600,000 ₪ | ויזל",https://www.yad2.co.il/realestate/item/tel-aviv-area/5xxz0di0?opened-from=feed&component-type=main_feed&spot=booster&location=23,sale,52000.0
4900000.0,3.0,73.0,3,עזרא-נכסים | יהושע בן נון,https://www.yad2.co.il/realestate/item/tel-aviv-area/etgdwu0n?opened-from=feed&component-type=main_feed&spot=standard&location=24,sale,67123.29
