purchase_price,rooms,size_sqm,address,avg_comparable_rent,comparable_rent_count,estimated_gross_yield,link
4500000.0,4.0,156.0,Re/max Unique | יגאל ידין,,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/xttcfzck?opened-from=feed&component-type=main_feed&spot=platinum&location=1
2590000.0,3.0,80.0,U נכסים | דוד אלעזר,7200.0,1,0.0334,https://www.yad2.co.il/realestate/item/center-and-sharon/70b3pua4?opened-from=feed&component-type=main_feed&spot=platinum&location=2
3990000.0,5.0,140.0,"לב הנדל""ן כרמית ברנבאום בע""מ | מרדכי מקלף",8900.0,1,0.0268,https://www.yad2.co.il/realestate/item/center-and-sharon/ocgu1wbe?opened-from=feed&component-type=main_feed&spot=platinum&location=3
6800000.0,6.0,247.0,"מבצע יונתן 12 | בית פרטי/ קוטג', המגינים, מודיעין מכבים רעות",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/jt6uk7q7?opened-from=feed&component-type=main_feed&spot=standard&location=4
5190000.0,5.0,190.0,"יגאל ידין 35 | גג/ פנטהאוז, המגינים, מודיעין מכבים רעות",8900.0,1,0.0206,https://www.yad2.co.il/realestate/item/center-and-sharon/7a7uskpk?opened-from=feed&component-type=main_feed&spot=standard&location=5
3890000.0,4.5,195.0,"חטיבת הצנחנים 23 | דירת גן, המגינים, מודיעין מכבים רעות",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/uufuznzr?opened-from=feed&component-type=main_feed&spot=standard&location=6
4000000.0,5.0,132.0,"יגאל ידין 39 | דירה, המגינים, מודיעין מכבים רעות",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/i0loq62g?opened-from=feed&component-type=main_feed&spot=standard&location=7
3700000.0,5.0,129.0,"יגאל ידין 3 | דירה, המגינים, מודיעין מכבים רעות",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/1vxlgarh?opened-from=feed&component-type=main_feed&spot=standard&location=8
3745000.0,5.0,128.0,"יגאל ידין 5 | דירה, המגינים, מודיעין מכבים רעות",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/05lvzt3a?opened-from=feed&component-type=main_feed&spot=standard&location=9
,6.0,150.0,"פרויקט חדש | זילברמינץ במע""ר מודיעין",6400000.0,1,,https://www.yad2.co.il/yad1/project/center-and-sharon/13685/apartment/1005670?wat=1_0_0_0_22_0_0_10_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15110_s_ws_ListingPro_1005670
6400000.0,6.0,178.0,פרויקט במבצע | מורשת טל PREMIUM,3206500.0,2,6.0122,https://www.yad2.co.il/yad1/project/center-and-sharon/15828/apartment/1009988?wat=1_0_0_0_22_0_0_11_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15111_s_ws_ListingPro_1009988
2390000.0,3.0,90.0,"אלמוג נדל""ן | חיים לסקוב",7200.0,1,0.0362,https://www.yad2.co.il/realestate/item/center-and-sharon/fe2ahid5?opened-from=feed&component-type=main_feed&spot=standard&location=12
3480000.0,5.0,140.0,"מור טואשי תיווך ויעוץ נדל""ן | יגאל ידין 5",8900.0,1,0.0307,https://www.yad2.co.il/realestate/item/center-and-sharon/xn3hyf3v?opened-from=feed&component-type=main_feed&spot=standard&location=13
3950000.0,5.0,135.0,"תבור נדל""ן | יגאל ידין",8900.0,1,0.027,https://www.yad2.co.il/realestate/item/center-and-sharon/771y23mg?opened-from=feed&component-type=main_feed&spot=standard&location=14
2690000.0,3.0,106.0,"נדלנית תיווך ושיווק נדל""ן | חטיבת הראל",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/q3vtn20f?opened-from=feed&component-type=main_feed&spot=standard&location=15
6800000.0,6.5,197.0,להב מודיעין | המגינים,,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/t2zwq8g6?opened-from=feed&component-type=main_feed&spot=standard&location=16
7450000.0,6.0,212.0,ורד בוטבול נכסים | בית פרטי/ קוטג',3206500.0,2,5.1648,https://www.yad2.co.il/realestate/item/center-and-sharon/0s5yta9h?opened-from=feed&component-type=main_feed&spot=standard&location=17
3840000.0,5.0,242.0,IsraSuites | יגאל ידין,,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/xuwy44gz?opened-from=feed&component-type=main_feed&spot=standard&location=18
3320000.0,4.5,120.0,כרמליס-בית נדלן | עמק זבולון,,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/ra1zdvxr?opened-from=feed&component-type=main_feed&spot=standard&location=19
3640000.0,5.0,150.0,"ירד ב-150,000 ₪ | עופר נעמן",8900.0,1,0.0293,https://www.yad2.co.il/realestate/item/center-and-sharon/d6fzy82p?opened-from=feed&component-type=main_feed&spot=standard&location=20
2690000.0,3.0,83.0,"נדל""ן נכון - מודיעין | יגאל ידין 9",7200.0,1,0.0321,https://www.yad2.co.il/realestate/item/center-and-sharon/27aejibi?opened-from=feed&component-type=main_feed&spot=standard&location=21
3280000.0,4.0,113.0,"לב הנדל""ן כרמית ברנבאום בע""מ | חטיבת הראל",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/ramg79y7?opened-from=feed&component-type=main_feed&spot=standard&location=22
6190000.0,6.0,160.0,U נכסים | יגאל ידין,3206500.0,2,6.2162,https://www.yad2.co.il/realestate/item/center-and-sharon/w463vcbp?opened-from=feed&component-type=main_feed&spot=standard&location=23
4500000.0,4.0,156.0,Re/max Unique | יגאל ידין,,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/xttcfzck?opened-from=feed&component-type=main_feed&spot=standard&location=24
2620000.0,3.0,112.0,FRENCH CONNECTION | דירה,,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/mvo0yakc?opened-from=feed&component-type=main_feed&spot=standard&location=25
3480000.0,5.0,134.0,Remax Gold | עמק זבולון,8900.0,1,0.0307,https://www.yad2.co.il/realestate/item/center-and-sharon/gv1eth7u?opened-from=feed&component-type=main_feed&spot=standard&location=26
2380000.0,3.0,81.0,"לב הנדל""ן כרמית ברנבאום בע""מ | המגינים",7200.0,1,0.0363,https://www.yad2.co.il/realestate/item/center-and-sharon/vjf4l1l1?opened-from=feed&component-type=main_feed&spot=standard&location=27
2690000.0,3.0,72.0,U נכסים | חטיבת גולני,7200.0,1,0.0321,https://www.yad2.co.il/realestate/item/center-and-sharon/mn5bualv?opened-from=feed&component-type=main_feed&spot=standard&location=28
6780000.0,5.0,170.0,"לב הנדל""ן כרמית ברנבאום בע""מ | יגאל ידין",8900.0,1,0.0158,https://www.yad2.co.il/realestate/item/center-and-sharon/1ctcx27n?opened-from=feed&component-type=main_feed&spot=standard&location=29
3640000.0,5.0,170.0,Remax Gold | יגאל ידין,8900.0,1,0.0293,https://www.yad2.co.il/realestate/item/center-and-sharon/jmds0kmh?opened-from=feed&component-type=main_feed&spot=standard&location=30
2740000.0,3.0,90.0,"נדל""ן נכון - מודיעין | יגאל ידין 11",7200.0,1,0.0315,https://www.yad2.co.il/realestate/item/center-and-sharon/ptfnnh5v?opened-from=feed&component-type=main_feed&spot=standard&location=31
,6.0,155.0,פרויקט חדש | נתנאל בכרמים מודיעין,3206500.0,2,,https://www.yad2.co.il/yad1/project/center-and-sharon/18376/apartment/1005770?wat=1_0_0_0_22_0_0_34_0_1_55_0_0_77&isRegion=true&site=_inres_x1_l_15134_s_ws_ListingPro_1005770
2260000.0,3.0,,"פרויקט במבצע | אפי נופי בן שמן, לוד",7200.0,1,0.0382,https://www.yad2.co.il/yad1/project/center-and-sharon/16140/apartment/1001330?wat=1_0_0_0_22_0_0_35_0_1_55_0_0_77&isRegion=true&site=_inres_x1_l_15135_s_ws_ListingPro_1001330
,5.0,121.0,פרויקט במבצע | אאורה בן שמן,,0,,https://www.yad2.co.il/yad1/project/center-and-sharon/10032/apartment/1000076?wat=1_0_0_0_22_0_0_36_0_1_55_0_0_77&isRegion=true&site=_inres_x1_l_15136_s_ws_ListingPro_1000076
,5.0,,פרויקט חדש | אביסרור בניר צבי לוד,8900.0,1,,https://www.yad2.co.il/yad1/project/center-and-sharon/16226/apartment/1001502?wat=1_0_0_0_22_0_0_37_0_1_55_0_0_77&isRegion=true&site=_inres_x1_l_15137_s_ws_ListingPro_1001502
,6.0,,פרויקט חדש | CROWN – דונה קראון,3206500.0,2,,https://www.yad2.co.il/yad1/project/center-and-sharon/8483/apartment/1003064?wat=1_0_0_0_22_0_0_38_0_1_61_0_0_77&isRegion=true&site=_inres_x1_l_16138_s_ws_ListingBasic_1003064
,3.0,83.0,פרויקט חדש | מאי אבניו – MY AVENUE,7200.0,1,,https://www.yad2.co.il/yad1/project/center-and-sharon/15515/apartment/1003282?wat=1_0_0_0_22_0_0_39_0_1_61_0_0_77&isRegion=true&site=_inres_x1_l_16139_s_ws_ListingBasic_1003282
