price,rooms,size_sqm,floor,address,link,source,price_per_sqm
4500000.0,4.0,156.0,10,Re/max Unique | יגאל ידין,https://www.yad2.co.il/realestate/item/center-and-sharon/xttcfzck?opened-from=feed&component-type=main_feed&spot=platinum&location=1,sale,28846.15
2590000.0,3.0,80.0,2,U נכסים | דוד אלעזר,https://www.yad2.co.il/realestate/item/center-and-sharon/70b3pua4?opened-from=feed&component-type=main_feed&spot=platinum&location=2,sale,32375.0
3990000.0,5.0,140.0,1,"לב הנדל""ן כרמית ברנבאום בע""מ | מרדכי מקלף",https://www.yad2.co.il/realestate/item/center-and-sharon/ocgu1wbe?opened-from=feed&component-type=main_feed&spot=platinum&location=3,sale,28500.0
6800000.0,6.0,247.0,קרקע,"מבצע יונתן 12 | בית פרטי/ קוטג', המגינים, מודיעין מכבים רעות",https://www.yad2.co.il/realestate/item/center-and-sharon/jt6uk7q7?opened-from=feed&component-type=main_feed&spot=standard&location=4,sale,27530.36
5190000.0,5.0,190.0,11,"יגאל ידין 35 | גג/ פנטהאוז, המגינים, מודיעין מכבים רעות",https://www.yad2.co.il/realestate/item/center-and-sharon/7a7uskpk?opened-from=feed&component-type=main_feed&spot=standard&location=5,sale,27315.79
3890000.0,4.5,195.0,1,"חטיבת הצנחנים 23 | דירת גן, המגינים, מודיעין מכבים רעות",https://www.yad2.co.il/realestate/item/center-and-sharon/uufuznzr?opened-from=feed&component-type=main_feed&spot=standard&location=6,sale,19948.72
4000000.0,5.0,132.0,10,"יגאל ידין 39 | דירה, המגינים, מודיעין מכבים רעות",https://www.yad2.co.il/realestate/item/center-and-sharon/i0loq62g?opened-from=feed&component-type=main_feed&spot=standard&location=7,sale,30303.03
3700000.0,5.0,129.0,5,"יגאל ידין 3 | דירה, המגינים, מודיעין מכבים רעות",https://www.yad2.co.il/realestate/item/center-and-sharon/1vxlgarh?opened-from=feed&component-type=main_feed&spot=standard&location=8,sale,28682.17
3745000.0,5.0,128.0,5,"יגאל ידין 5 | דירה, המגינים, מודיעין מכבים רעות",https://www.yad2.co.il/realestate/item/center-and-sharon/05lvzt3a?opened-from=feed&component-type=main_feed&spot=standard&location=9,sale,29257.81
,6.0,150.0,2-4,"פרויקט חדש | זילברמינץ במע""ר מודיעין",https://www.yad2.co.il/yad1/project/center-and-sharon/13685/apartment/1005670?wat=1_0_0_0_22_0_0_10_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15110_s_ws_ListingPro_1005670,sale,
6400000.0,6.0,178.0,,פרויקט במבצע | מורשת טל PREMIUM,https://www.yad2.co.il/yad1/project/center-and-sharon/15828/apartment/1009988?wat=1_0_0_0_22_0_0_11_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15111_s_ws_ListingPro_1009988,sale,35955.06
2390000.0,3.0,90.0,1,"אלמוג נדל""ן | חיים לסקוב",https://www.yad2.co.il/realestate/item/center-and-sharon/fe2ahid5?opened-from=feed&component-type=main_feed&spot=standard&location=12,sale,26555.56
3480000.0,5.0,140.0,2,"מור טואשי תיווך ויעוץ נדל""ן | יגאל ידין 5",https://www.yad2.co.il/realestate/item/center-and-sharon/xn3hyf3v?opened-from=feed&component-type=main_feed&spot=standard&location=13,sale,24857.14
3950000.0,5.0,135.0,4,"תבור נדל""ן | יגאל ידין",https://www.yad2.co.il/realestate/item/center-and-sharon/771y23mg?opened-from=feed&component-type=main_feed&spot=standard&location=14,sale,29259.26
2690000.0,3.0,106.0,3,"נדלנית תיווך ושיווק נדל""ן | חטיבת הראל",https://www.yad2.co.il/realestate/item/center-and-sharon/q3vtn20f?opened-from=feed&component-type=main_feed&spot=standard&location=15,sale,25377.36
6800000.0,6.5,197.0,קרקע,להב מודיעין | המגינים,https://www.yad2.co.il/realestate/item/center-and-sharon/t2zwq8g6?opened-from=feed&component-type=main_feed&spot=standard&location=16,sale,34517.77
7450000.0,6.0,212.0,קרקע,ורד בוטבול נכסים | בית פרטי/ קוטג',https://www.yad2.co.il/realestate/item/center-and-sharon/0s5yta9h?opened-from=feed&component-type=main_feed&spot=standard&location=17,sale,35141.51
3840000.0,5.0,242.0,3,IsraSuites | יגאל ידין,https://www.yad2.co.il/realestate/item/center-and-sharon/xuwy44gz?opened-from=feed&component-type=main_feed&spot=standard&location=18,sale,15867.77
3320000.0,4.5,120.0,3,כרמליס-בית נדלן | עמק זבולון,https://www.yad2.co.il/realestate/item/center-and-sharon/ra1zdvxr?opened-from=feed&component-type=main_feed&spot=standard&location=19,sale,27666.67
3640000.0,5.0,150.0,8,"ירד ב-150,000 ₪ | עופר נעמן",https://www.yad2.co.il/realestate/item/center-and-sharon/d6fzy82p?opened-from=feed&component-type=main_feed&spot=standard&location=20,sale,24266.67
2690000.0,3.0,83.0,1,"נדל""ן נכון - מודיעין | יגאל ידין 9",https://www.yad2.co.il/realestate/item/center-and-sharon/27aejibi?opened-from=feed&component-type=main_feed&spot=standard&location=21,sale,32409.64
