price,rooms,size_sqm,floor,address,link,source,price_per_sqm
6500.0,4.0,80.0,1,רימקס פוקוס | טבנקין 25,https://www.yad2.co.il/realestate/item/tel-aviv-area/z2qtw5u1?opened-from=feed&component-type=main_feed&spot=platinum&location=1,rent,81.25
6900.0,3.0,78.0,3,אפיקי מרום | אזור הבילויים,https://www.yad2.co.il/realestate/item/tel-aviv-area/nmj6ktju?opened-from=feed&component-type=main_feed&spot=platinum&location=2,rent,88.46
5500.0,3.0,66.0,2,החל מ- | אמנון ותמר,https://www.yad2.co.il/realestate/item/tel-aviv-area/y8576knd?opened-from=feed&component-type=main_feed&spot=look_alike&location=999,rent,83.33
6200.0,4.0,85.0,8,"הירדן 96 | דירה, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/vk7km2k0?opened-from=feed&component-type=main_feed&spot=standard&location=3,rent,72.94
5900.0,3.0,91.0,1,"טבנקין 7 | דירה, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/6gjcl2ua?opened-from=feed&component-type=main_feed&spot=standard&location=4,rent,64.84
4950.0,3.5,73.0,1,"שרה אהרונסון 53 | דירה, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/0xlimprr?opened-from=feed&component-type=main_feed&spot=standard&location=5,rent,67.81
7500.0,4.0,100.0,4,"יוסף צבי 67 | דירה, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/4j8iratp?opened-from=feed&component-type=main_feed&spot=standard&location=6,rent,75.0
4200.0,2.0,68.0,1,"הרא""ה 275 | דירה, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/vpiknbz2?opened-from=feed&component-type=main_feed&spot=standard&location=7,rent,61.76
5100.0,3.0,60.0,1,"הרא""ה 238 | דירה, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/gr7j907n?opened-from=feed&component-type=main_feed&spot=standard&location=8,rent,85.0
600.0,4.0,70.0,4,"שרה אהרונסון 40 | סאבלט, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/g1kdgtw5?opened-from=feed&component-type=main_feed&spot=standard&location=9,rent,8.57
6400.0,3.0,77.0,2,"הביל""ויים 41 | דירה, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/15ab1hh0?opened-from=feed&component-type=main_feed&spot=standard&location=10,rent,83.12
9000.0,4.0,90.0,6,"הביל""ויים 12 | סאבלט, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/cvjaggpt?opened-from=feed&component-type=main_feed&spot=standard&location=11,rent,100.0
7100.0,3.5,110.0,2,"טבנקין 9 | דירה, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/jyton1zu?opened-from=feed&component-type=main_feed&spot=standard&location=12,rent,64.55
6500.0,4.5,100.0,1,"שדרות הקונגרס 20 | דירה, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/azonb8rl?opened-from=feed&component-type=main_feed&spot=standard&location=13,rent,65.0
2300.0,4.0,105.0,6,"שרה אהרונסון 37 | יחידת דיור, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/kfrczq9v?opened-from=feed&component-type=main_feed&spot=standard&location=14,rent,21.9
7200.0,4.0,88.0,4,"שרה אהרונסון 33 | דירה, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/amco5ndg?opened-from=feed&component-type=main_feed&spot=standard&location=15,rent,81.82
5300.0,2.0,55.0,2,"אבא ברדיצ'ב 3 | דירה, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/w5bqw4tf?opened-from=feed&component-type=main_feed&spot=standard&location=16,rent,96.36
6620.0,3.0,82.0,8,"עלומים 12 | החלפת דירות, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/cf5dtzno?opened-from=feed&component-type=main_feed&spot=standard&location=17,rent,80.73
4500.0,2.0,50.0,3,"עלומים 42 | דירה, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/2uiobzns?opened-from=feed&component-type=main_feed&spot=standard&location=18,rent,90.0
8000.0,4.0,180.0,קרקע,"פנחס רוטנברג 38 | דירה, אזור הבילויים, רמת גן",https://www.yad2.co.il/realestate/item/tel-aviv-area/dqzypfv3?opened-from=feed&component-type=main_feed&spot=standard&location=19,rent,44.44
2987000.0,3.0,76.0,1,"פרויקט במבצע | הרא""ה 277-279 רמת גן",https://www.yad2.co.il/yad1/project/tel-aviv-area/6560/apartment/1000222?wat=1_0_0_0_22_0_0_20_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15220_r_ws_ListingPro_1000222,rent,39302.63
6500.0,4.0,80.0,1,רימקס פוקוס | טבנקין 25,https://www.yad2.co.il/realestate/item/tel-aviv-area/z2qtw5u1?opened-from=feed&component-type=main_feed&spot=standard&location=22,rent,81.25
6900.0,4.0,90.0,7,רימקס פוקוס | הירדן 90,https://www.yad2.co.il/realestate/item/tel-aviv-area/pivrm8gb?opened-from=feed&component-type=main_feed&spot=standard&location=23,rent,76.67
13000.0,4.0,220.0,9,Ofek Meir- Real Estate | אבנר,https://www.yad2.co.il/realestate/item/tel-aviv-area/5g8btvru?opened-from=feed&component-type=main_feed&spot=standard&location=24,rent,59.09
8000.0,4.0,165.0,קרקע,רימקס פוקוס | פנחס רוטנברג 38,https://www.yad2.co.il/realestate/item/tel-aviv-area/frcr37rv?opened-from=feed&component-type=main_feed&spot=standard&location=25,rent,48.48
7500.0,4.0,90.0,1,רימקס פוקוס | יוסף צבי 70,https://www.yad2.co.il/realestate/item/tel-aviv-area/dl3jh4qy?opened-from=feed&component-type=main_feed&spot=standard&location=26,rent,83.33
7500.0,4.0,90.0,1,רימקס אושן | הירדן 98,https://www.yad2.co.il/realestate/item/tel-aviv-area/garrtjc3?opened-from=feed&component-type=main_feed&spot=standard&location=27,rent,83.33
7200.0,3.0,60.0,קרקע,בר יזמות והשקעות | פנחס רוטנברג,https://www.yad2.co.il/realestate/item/tel-aviv-area/cx1q1k6m?opened-from=feed&component-type=main_feed&spot=standard&location=28,rent,120.0
6500.0,4.0,85.0,1,חיימוב נכסים שיווק אישי | שדרות הקונגרס,https://www.yad2.co.il/realestate/item/tel-aviv-area/ouxe7v0d?opened-from=feed&component-type=main_feed&spot=standard&location=29,rent,76.47
6900.0,3.0,78.0,3,אפיקי מרום | אזור הבילויים,https://www.yad2.co.il/realestate/item/tel-aviv-area/nmj6ktju?opened-from=feed&component-type=main_feed&spot=standard&location=30,rent,88.46
3200.0,1.0,30.0,2,"תורג'י נכסים- הבית שלך מתחיל כאן | הביל""ויים",https://www.yad2.co.il/realestate/item/tel-aviv-area/zjqwigwj?opened-from=feed&component-type=main_feed&spot=standard&location=31,rent,106.67
