purchase_price,rooms,size_sqm,address,avg_comparable_rent,comparable_rent_count,estimated_gross_yield,link
5800000.0,5.0,217.0,אפטאון נכסים | אבנר 2,,0,,https://www.yad2.co.il/realestate/item/tel-aviv-area/w7q4qafm?opened-from=feed&component-type=main_feed&spot=platinum&location=1
3390000.0,3.0,96.0,אדוה תיווך עם חיוך | עלומים,6544.0,5,0.0232,https://www.yad2.co.il/realestate/item/tel-aviv-area/w6l2wj4o?opened-from=feed&component-type=main_feed&spot=platinum&location=2
2750000.0,4.5,115.0,"רימקס פוקוס | הביל""ויים",6500.0,1,0.0284,https://www.yad2.co.il/realestate/item/tel-aviv-area/yobubydp?opened-from=feed&component-type=main_feed&spot=platinum&location=3
2987000.0,3.0,76.0,"פרויקט במבצע | הרא""ה 277-279 רמת גן",378965.0,8,1.5225,https://www.yad2.co.il/yad1/project/tel-aviv-area/6560/apartment/1000222?wat=1_0_0_0_22_0_0_5_0_1_55_0_0_77&isRegion=true&matchPrecision=full&isAbTest=true&site=_inres_x1_l_15105_s_ws_ListingPro_1000222
2190000.0,2.5,62.0,החל מ- | שיינקין,,0,,https://www.yad2.co.il/realestate/item/tel-aviv-area/ez5gexxy?opened-from=feed&component-type=main_feed&spot=look_alike&location=999
3050000.0,4.0,83.0,"הירדן 98 | דירה, אזור הבילויים, רמת גן",6440.0,10,0.0253,https://www.yad2.co.il/realestate/item/tel-aviv-area/kbd730vu?opened-from=feed&component-type=main_feed&spot=standard&location=6
3450000.0,4.0,93.0,"הרא""ה 240 | דירה, אזור הבילויים, רמת גן",6690.91,11,0.0233,https://www.yad2.co.il/realestate/item/tel-aviv-area/yoocyx8f?opened-from=feed&component-type=main_feed&spot=standard&location=7
2500000.0,3.0,78.0,"איינשטיין 23 | דירת גן, אזור הבילויים, רמת גן",378965.0,8,1.819,https://www.yad2.co.il/realestate/item/tel-aviv-area/itor9a7e?opened-from=feed&component-type=main_feed&spot=standard&location=8
3900000.0,4.0,100.0,"טבנקין 15 | דירה, אזור הבילויים, רמת גן",6690.91,11,0.0206,https://www.yad2.co.il/realestate/item/tel-aviv-area/27sqfl9e?opened-from=feed&component-type=main_feed&spot=standard&location=9
5800000.0,5.0,217.0,"5,800,000 ₪ | אבנר 2",,0,,https://www.yad2.co.il/realestate/item/tel-aviv-area/w7q4qafm?opened-from=feed&component-type=main_feed&spot=booster&location=11
6000000.0,4.0,220.0,Ofek Meir- Real Estate | אבנר,10500.0,2,0.021,https://www.yad2.co.il/realestate/item/tel-aviv-area/ts3ywfyr?opened-from=feed&component-type=main_feed&spot=standard&location=12
5800000.0,5.0,217.0,אפטאון נכסים | אבנר 2,,0,,https://www.yad2.co.il/realestate/item/tel-aviv-area/w7q4qafm?opened-from=feed&component-type=main_feed&spot=standard&location=13
5300000.0,5.0,159.0,א.א נדלן | אזור הבילויים,,0,,https://www.yad2.co.il/realestate/item/tel-aviv-area/uybq4a6x?opened-from=feed&component-type=main_feed&spot=standard&location=14
2290000.0,3.5,70.0,"פנינה קופל-נדל""ן בסטייל | אזור הבילויים",4950.0,1,0.0259,https://www.yad2.co.il/realestate/item/tel-aviv-area/hkxgncvd?opened-from=feed&component-type=main_feed&spot=standard&location=15
2990000.0,4.0,85.0,תיווך חכמת רחוב | עלומים,6536.36,11,0.0262,https://www.yad2.co.il/realestate/item/tel-aviv-area/5nb0rjb2?opened-from=feed&component-type=main_feed&spot=standard&location=16
2990000.0,2.5,57.0,רובי פריאנטי יעוץ וישווק נדלן | עלומים,,0,,https://www.yad2.co.il/realestate/item/tel-aviv-area/72wriynn?opened-from=feed&component-type=main_feed&spot=standard&location=17
