purchase_price,rooms,size_sqm,address,avg_comparable_rent,comparable_rent_count,estimated_gross_yield,link
5790000.0,6.0,190.0,"גד נדל""ן | נווה זמר",16333.33,3,0.0339,https://www.yad2.co.il/realestate/item/center-and-sharon/1bnd5qgu?opened-from=feed&component-type=main_feed&spot=platinum&location=1
5790000.0,5.0,217.0,אלרם נדלן | נעמי שמר,1974800.0,3,4.0928,https://www.yad2.co.il/realestate/item/center-and-sharon/10dd4uv5?opened-from=feed&component-type=main_feed&spot=platinum&location=2
3550000.0,4.0,93.0,RE/MAX ONE | עוזי חיטמן,9160.0,5,0.031,https://www.yad2.co.il/realestate/item/center-and-sharon/lluhz328?opened-from=feed&component-type=main_feed&spot=platinum&location=3
2990000.0,4.0,170.0,החל מ- | דירה,7000.0,2,0.0281,https://www.yad2.co.il/realestate/item/center-and-sharon/umkmag1g?opened-from=feed&component-type=main_feed&spot=look_alike&location=999
4400000.0,5.0,130.0,"יעקב אורלנד 4 | דירה, נווה זמר, רעננה",501298.33,12,1.3672,https://www.yad2.co.il/realestate/item/center-and-sharon/filgjl34?opened-from=feed&component-type=main_feed&spot=standard&location=6
3820000.0,4.0,102.0,"נעמי שמר 24 | דירה, נווה זמר, רעננה",9160.0,5,0.0288,https://www.yad2.co.il/realestate/item/center-and-sharon/xfvzioys?opened-from=feed&component-type=main_feed&spot=standard&location=7
3795000.0,4.0,108.0,"אלכסנדר פן 3 | דירה, נווה זמר, רעננה",9160.0,5,0.029,https://www.yad2.co.il/realestate/item/center-and-sharon/psg4hu0u?opened-from=feed&component-type=main_feed&spot=standard&location=8
3400000.0,4.0,106.0,"סשה ארגוב 52 | דירה, נווה זמר, רעננה",9160.0,5,0.0323,https://www.yad2.co.il/realestate/item/center-and-sharon/m5tpnf4e?opened-from=feed&component-type=main_feed&spot=standard&location=9
5150000.0,5.0,127.0,"יהודה עמיחי 14 | דירה, נווה זמר, רעננה",501298.33,12,1.1681,https://www.yad2.co.il/realestate/item/center-and-sharon/qxckj0lc?opened-from=feed&component-type=main_feed&spot=standard&location=10
3540000.0,4.0,120.0,"עוזי חיטמן 3 | דירה, נווה זמר, רעננה",9160.0,5,0.0311,https://www.yad2.co.il/realestate/item/center-and-sharon/rvuw7pnp?opened-from=feed&component-type=main_feed&spot=standard&location=11
4700000.0,4.0,156.0,"ע. הלל 6 | דירת גן, נווה זמר, רעננה",7000.0,2,0.0179,https://www.yad2.co.il/realestate/item/center-and-sharon/5o56yont?opened-from=feed&component-type=main_feed&spot=standard&location=12
3550000.0,4.0,104.0,"עלי מוהר 17 | דירה, נווה זמר, רעננה",9160.0,5,0.031,https://www.yad2.co.il/realestate/item/center-and-sharon/nxvf7lod?opened-from=feed&component-type=main_feed&spot=standard&location=13
