price,rooms,size_sqm,floor,address,link,source,price_per_sqm
5790000.0,6.0,190.0,1,"גד נדל""ן | נווה זמר",https://www.yad2.co.il/realestate/item/center-and-sharon/1bnd5qgu?opened-from=feed&component-type=main_feed&spot=platinum&location=1,sale,30473.68
5790000.0,5.0,217.0,קרקע,אלרם נדלן | נעמי שמר,https://www.yad2.co.il/realestate/item/center-and-sharon/10dd4uv5?opened-from=feed&component-type=main_feed&spot=platinum&location=2,sale,26682.03
3550000.0,4.0,93.0,3,RE/MAX ONE | עוזי חיטמן,https://www.yad2.co.il/realestate/item/center-and-sharon/lluhz328?opened-from=feed&component-type=main_feed&spot=platinum&location=3,sale,38172.04
2990000.0,4.0,170.0,2,החל מ- | דירה,https://www.yad2.co.il/realestate/item/center-and-sharon/umkmag1g?opened-from=feed&component-type=main_feed&spot=look_alike&location=999,sale,17588.24
4400000.0,5.0,130.0,1,"יעקב אורלנד 4 | דירה, נווה זמר, רעננה",https://www.yad2.co.il/realestate/item/center-and-sharon/filgjl34?opened-from=feed&component-type=main_feed&spot=standard&location=6,sale,33846.15
3820000.0,4.0,102.0,5,"נעמי שמר 24 | דירה, נווה זמר, רעננה",https://www.yad2.co.il/realestate/item/center-and-sharon/xfvzioys?opened-from=feed&component-type=main_feed&spot=standard&location=7,sale,37450.98
3795000.0,4.0,108.0,2,"אלכסנדר פן 3 | דירה, נווה זמר, רעננה",https://www.yad2.co.il/realestate/item/center-and-sharon/psg4hu0u?opened-from=feed&component-type=main_feed&spot=standard&location=8,sale,35138.89
3400000.0,4.0,106.0,1,"סשה ארגוב 52 | דירה, נווה זמר, רעננה",https://www.yad2.co.il/realestate/item/center-and-sharon/m5tpnf4e?opened-from=feed&component-type=main_feed&spot=standard&location=9,sale,32075.47
5150000.0,5.0,127.0,5,"יהודה עמיחי 14 | דירה, נווה זמר, רעננה",https://www.yad2.co.il/realestate/item/center-and-sharon/qxckj0lc?opened-from=feed&component-type=main_feed&spot=standard&location=10,sale,40551.18
3540000.0,4.0,120.0,1,"עוזי חיטמן 3 | דירה, נווה זמר, רעננה",https://www.yad2.co.il/realestate/item/center-and-sharon/rvuw7pnp?opened-from=feed&component-type=main_feed&spot=standard&location=11,sale,29500.0
4700000.0,4.0,156.0,קרקע,"ע. הלל 6 | דירת גן, נווה זמר, רעננה",https://www.yad2.co.il/realestate/item/center-and-sharon/5o56yont?opened-from=feed&component-type=main_feed&spot=standard&location=12,sale,30128.21
3550000.0,4.0,104.0,3,"עלי מוהר 17 | דירה, נווה זמר, רעננה",https://www.yad2.co.il/realestate/item/center-and-sharon/nxvf7lod?opened-from=feed&component-type=main_feed&spot=standard&location=13,sale,34134.62
5900000.0,5.0,,7,פרויקט חדש | פרץ בוני הנגב ברעננה,https://www.yad2.co.il/yad1/project/center-and-sharon/7454/apartment/1001970?wat=1_0_0_0_22_0_0_14_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15114_s_ws_ListingPro_1001970,sale,
8900000.0,6.0,240.0,6,"8,900,000 ₪ | נווה זמר",https://www.yad2.co.il/realestate/item/center-and-sharon/aqd3lfz2?opened-from=feed&component-type=main_feed&spot=booster&location=15,sale,37083.33
5190000.0,5.0,188.0,קרקע,"גד נדל""ן | ע. הלל",https://www.yad2.co.il/realestate/item/center-and-sharon/flntc62k?opened-from=feed&component-type=main_feed&spot=standard&location=16,sale,27606.38
6200000.0,6.0,240.0,6,"אבן הספיר נדל""ן | נעמי שמר",https://www.yad2.co.il/realestate/item/center-and-sharon/dsd7s5mn?opened-from=feed&component-type=main_feed&spot=standard&location=17,sale,25833.33
4685000.0,5.0,125.0,4,"טורקיז גרופ נדל""ן | נווה זמר",https://www.yad2.co.il/realestate/item/center-and-sharon/69dqr64p?opened-from=feed&component-type=main_feed&spot=standard&location=18,sale,37480.0
4580000.0,5.0,131.0,1,"אבי כחלון נדל""ן | משה וילנסקי",https://www.yad2.co.il/realestate/item/center-and-sharon/g636viod?opened-from=feed&component-type=main_feed&spot=standard&location=19,sale,34961.83
3800000.0,4.0,105.0,2,הום צ'וייס | נעמי שמר,https://www.yad2.co.il/realestate/item/center-and-sharon/8dni1k67?opened-from=feed&component-type=main_feed&spot=standard&location=20,sale,36190.48
3690000.0,4.0,143.0,4,שיאון נכסים | נווה זמר,https://www.yad2.co.il/realestate/item/center-and-sharon/2pjbl72o?opened-from=feed&component-type=main_feed&spot=standard&location=21,sale,25804.2
4300000.0,5.0,138.0,4,Shai Shahar | נווה זמר,https://www.yad2.co.il/realestate/item/center-and-sharon/c6cvpihm?opened-from=feed&component-type=main_feed&spot=standard&location=22,sale,31159.42
3690000.0,4.0,107.0,3,QUEEN - הילה דרוקר שמרית שלום. | נווה זמר,https://www.yad2.co.il/realestate/item/center-and-sharon/60tciiaj?opened-from=feed&component-type=main_feed&spot=standard&location=23,sale,34485.98
4245000.0,5.0,143.0,2,"טורקיז גרופ נדל""ן | עפרה חזה",https://www.yad2.co.il/realestate/item/center-and-sharon/wv0e0wk5?opened-from=feed&component-type=main_feed&spot=standard&location=24,sale,29685.31
4980000.0,6.0,155.0,4,TWO Shiri & Maya | נווה זמר,https://www.yad2.co.il/realestate/item/center-and-sharon/6uzw6q57?opened-from=feed&component-type=main_feed&spot=standard&location=25,sale,32129.03
3600000.0,4.0,106.0,4,Shai Shahar | משה וילנסקי,https://www.yad2.co.il/realestate/item/center-and-sharon/ca7u6evs?opened-from=feed&component-type=main_feed&spot=standard&location=26,sale,33962.26
3800000.0,4.0,106.0,3,"שני פרי נדל""ן | אהוד מנור",https://www.yad2.co.il/realestate/item/center-and-sharon/el8isysx?opened-from=feed&component-type=main_feed&spot=standard&location=27,sale,35849.06
4450000.0,5.0,139.0,3,RICASA | סשה ארגוב,https://www.yad2.co.il/realestate/item/center-and-sharon/es24qp24?opened-from=feed&component-type=main_feed&spot=standard&location=28,sale,32014.39
3390000.0,4.0,111.0,1,RICASA | נווה זמר,https://www.yad2.co.il/realestate/item/center-and-sharon/87u29xb4?opened-from=feed&component-type=main_feed&spot=standard&location=29,sale,30540.54
3650000.0,4.0,96.0,3,"טורקיז גרופ נדל""ן | משה וילנסקי",https://www.yad2.co.il/realestate/item/center-and-sharon/8yoaotjo?opened-from=feed&component-type=main_feed&spot=standard&location=30,sale,38020.83
6980000.0,6.0,285.0,5,"טורקיז גרופ נדל""ן | נווה זמר",https://www.yad2.co.il/realestate/item/center-and-sharon/ria7loy8?opened-from=feed&component-type=main_feed&spot=standard&location=31,sale,24491.23
5150000.0,6.0,161.0,4,"טרקלין נדל""ן Keller Williams | עלי מוהר",https://www.yad2.co.il/realestate/item/center-and-sharon/nm5yi4l2?opened-from=feed&component-type=main_feed&spot=standard&location=32,sale,31987.58
4450000.0,5.0,140.0,2,NY my way home | נווה זמר,https://www.yad2.co.il/realestate/item/center-and-sharon/45c8dphg?opened-from=feed&component-type=main_feed&spot=standard&location=33,sale,31785.71
