price,rooms,size_sqm,floor,address,link,source,price_per_sqm
7200.0,3.0,75.0,1,Sun Realty | דרך נמיר,https://www.yad2.co.il/realestate/item/tel-aviv-area/m0yinagj?opened-from=feed&component-type=main_feed&spot=platinum&location=1,rent,96.0
22000.0,5.0,150.0,7,ששון נכסים | בבלי,https://www.yad2.co.il/realestate/item/tel-aviv-area/tdlyi6f7?opened-from=feed&component-type=main_feed&spot=platinum&location=2,rent,146.67
13500.0,3.0,70.0,6,"ירד ב-500 ₪ | טל נכסים -מבית קלר וויליאמס צפון מערב ת""א",https://www.yad2.co.il/realestate/item/tel-aviv-area/szjm40zm?opened-from=feed&component-type=main_feed&spot=platinum&location=3,rent,192.86
11000.0,5.0,125.0,4,החל מ- | רמת אביב ג',https://www.yad2.co.il/realestate/item/tel-aviv-area/1evuuypi?opened-from=feed&component-type=main_feed&spot=look_alike&location=999,rent,88.0
10800.0,3.0,82.0,1,"הזוהר 32 | דירה, בבלי, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/lgmrtnrd?opened-from=feed&component-type=main_feed&spot=standard&location=4,rent,131.71
7500.0,3.0,75.0,1,"דרך נמיר 130 | דירה, בבלי, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/izuc6f03?opened-from=feed&component-type=main_feed&spot=standard&location=5,rent,100.0
10000.0,3.0,85.0,4,"הרב עוזיאל 1 | דירה, בבלי, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/ny52okj9?opened-from=feed&component-type=main_feed&spot=standard&location=6,rent,117.65
,4.0,100.0,2,לא צוין מחיר | בבלי 9,https://www.yad2.co.il/realestate/item/tel-aviv-area/j8tbgkc9?opened-from=feed&component-type=main_feed&spot=standard&location=7,rent,
8200.0,3.0,80.0,3,ירד ב-550 ₪ | הזוהר 30,https://www.yad2.co.il/realestate/item/tel-aviv-area/nf5lm0wx?opened-from=feed&component-type=main_feed&spot=standard&location=8,rent,102.5
12000.0,2.0,59.0,5,"בבלי 47 | דירה, בבלי, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/wgj7py98?opened-from=feed&component-type=main_feed&spot=standard&location=9,rent,203.39
9800.0,3.5,100.0,5,"בבלי 19 | דירה, בבלי, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/mp7wsr1x?opened-from=feed&component-type=main_feed&spot=standard&location=10,rent,98.0
21000.0,4.5,126.0,8,"יוסף פעמוני 12 | דירה, בבלי, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/a6jur3js?opened-from=feed&component-type=main_feed&spot=standard&location=11,rent,166.67
100.0,3.0,100.0,6,"יוסף פעמוני 12 | דירה, בבלי, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/u95u6g7k?opened-from=feed&component-type=main_feed&spot=standard&location=12,rent,1.0
30000.0,4.0,180.0,30,"יוסף פעמוני 6 | סאבלט, בבלי, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/w9l0ffwc?opened-from=feed&component-type=main_feed&spot=standard&location=13,rent,166.67
9500.0,3.0,85.0,3,"ירושלמי 6 | דירה, בבלי, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/s1rotb3r?opened-from=feed&component-type=main_feed&spot=standard&location=14,rent,111.76
30000.0,5.0,360.0,17,"ירד ב-5,000 ₪ | 30,000 ₪",https://www.yad2.co.il/realestate/item/tel-aviv-area/uhuk9lnk?opened-from=feed&component-type=main_feed&spot=booster&location=17,rent,83.33
9500.0,3.0,80.0,10,ירד ב-300 ₪ | פאר תיווך נכסים,https://www.yad2.co.il/realestate/item/tel-aviv-area/f6ddfb2f?opened-from=feed&component-type=main_feed&spot=standard&location=18,rent,118.75
30000.0,5.0,360.0,17,"ירד ב-5,000 ₪ | פאר תיווך נכסים",https://www.yad2.co.il/realestate/item/tel-aviv-area/uhuk9lnk?opened-from=feed&component-type=main_feed&spot=standard&location=19,rent,83.33
23000.0,5.0,170.0,24,S.A.T Real Estate | הרב ניסים,https://www.yad2.co.il/realestate/item/tel-aviv-area/r8y8dc0s?opened-from=feed&component-type=main_feed&spot=standard&location=20,rent,135.29
18500.0,4.0,129.0,16,"ירד ב-1,500 ₪ | פאר תיווך נכסים",https://www.yad2.co.il/realestate/item/tel-aviv-area/4l2mt6bc?opened-from=feed&component-type=main_feed&spot=standard&location=21,rent,143.41
8200.0,3.0,65.0,1,כפיר | תוספתא 6,https://www.yad2.co.il/realestate/item/tel-aviv-area/29h3e1a7?opened-from=feed&component-type=main_feed&spot=standard&location=22,rent,126.15
35000.0,4.0,205.0,28,פאר תיווך נכסים | בבלי,https://www.yad2.co.il/realestate/item/tel-aviv-area/9ccnq90d?opened-from=feed&component-type=main_feed&spot=standard&location=23,rent,170.73
18800.0,4.0,14.0,15,שלי נדלן | יוסף פעמוני,https://www.yad2.co.il/realestate/item/tel-aviv-area/qegzl357?opened-from=feed&component-type=main_feed&spot=standard&location=24,rent,1342.86
22000.0,5.0,150.0,7,ששון נכסים | בבלי,https://www.yad2.co.il/realestate/item/tel-aviv-area/tdlyi6f7?opened-from=feed&component-type=main_feed&spot=standard&location=25,rent,146.67
20000.0,4.0,135.0,20,S.A.T Real Estate | הרב ניסים 9,https://www.yad2.co.il/realestate/item/tel-aviv-area/17s1ma?opened-from=feed&component-type=main_feed&spot=standard&location=26,rent,148.15
18000.0,3.0,97.0,12,"מייקיז נדל""ן | יוסף פעמוני 12",https://www.yad2.co.il/realestate/item/tel-aviv-area/n2lwpf4i?opened-from=feed&component-type=main_feed&spot=standard&location=27,rent,185.57
14000.0,3.0,100.0,6,Home - Place | יוסף פעמוני,https://www.yad2.co.il/realestate/item/tel-aviv-area/bc22mev8?opened-from=feed&component-type=main_feed&spot=standard&location=28,rent,140.0
30000.0,5.0,330.0,20,שלי בכור- תיווך נכסי יוקרה | הרב ניסים,https://www.yad2.co.il/realestate/item/tel-aviv-area/4abrr65f?opened-from=feed&component-type=main_feed&spot=standard&location=29,rent,90.91
20000.0,4.0,128.0,15,פאר תיווך נכסים | יוסף פעמוני 12,https://www.yad2.co.il/realestate/item/tel-aviv-area/z0c667qj?opened-from=feed&component-type=main_feed&spot=standard&location=30,rent,156.25
11000.0,4.0,110.0,5,"ירד ב-500 ₪ | יש נדל""ן",https://www.yad2.co.il/realestate/item/tel-aviv-area/psrlfft8?opened-from=feed&component-type=main_feed&spot=standard&location=31,rent,100.0
32000.0,6.0,196.0,20,פאר תיווך נכסים | הרב ניסים,https://www.yad2.co.il/realestate/item/tel-aviv-area/p356otf0?opened-from=feed&component-type=main_feed&spot=standard&location=32,rent,163.27
21000.0,4.0,22000.0,16,רז נכסי יוקרה | יוסף פעמוני,https://www.yad2.co.il/realestate/item/tel-aviv-area/jeqxzixn?opened-from=feed&component-type=main_feed&spot=standard&location=33,rent,0.95
37000.0,4.0,205.0,30,בלומברג נכסים | יוסף פעמוני 12,https://www.yad2.co.il/realestate/item/tel-aviv-area/0ddssyi8?opened-from=feed&component-type=main_feed&spot=standard&location=34,rent,180.49
14800.0,3.0,95.0,8,בלומברג נכסים | יוסף פעמוני,https://www.yad2.co.il/realestate/item/tel-aviv-area/9lc7b2i7?opened-from=feed&component-type=main_feed&spot=standard&location=35,rent,155.79
15000.0,3.0,87.0,8,"רם נדל""ן | דירה",https://www.yad2.co.il/realestate/item/tel-aviv-area/bk9jipbs?opened-from=feed&component-type=main_feed&spot=standard&location=36,rent,172.41
20000.0,3.0,130.0,18,בראון גרופ | יוסף פעמוני,https://www.yad2.co.il/realestate/item/tel-aviv-area/9vnjn9ex?opened-from=feed&component-type=main_feed&spot=standard&location=37,rent,153.85
