purchase_price,rooms,size_sqm,address,avg_comparable_rent,comparable_rent_count,estimated_gross_yield,link
19000000.0,4.0,205.0,ישראהום נכסים | בבלי,34000.0,3,0.0215,https://www.yad2.co.il/realestate/item/tel-aviv-area/847srlgc?opened-from=feed&component-type=main_feed&spot=platinum&location=1
22000000.0,5.0,168.0,הומלנד -בית ממכר נכסים | יוסף פעמוני,22333.33,3,0.0122,https://www.yad2.co.il/realestate/item/tel-aviv-area/o50irl6y?opened-from=feed&component-type=main_feed&spot=platinum&location=2
12300000.0,4.0,186.0,"ה' באייר נדל""ן | הרב ניסים",34000.0,3,0.0332,https://www.yad2.co.il/realestate/item/tel-aviv-area/bw1520uh?opened-from=feed&component-type=main_feed&spot=platinum&location=3
2500000.0,2.0,47.0,החל מ- | אוסוולדו ארניה 8,,0,,https://www.yad2.co.il/realestate/item/tel-aviv-area/wym6mcxl?opened-from=feed&component-type=main_feed&spot=look_alike&location=999
2450000.0,2.0,40.0,"בבלי 17 | דירה, בבלי, תל אביב יפו",,0,,https://www.yad2.co.il/realestate/item/tel-aviv-area/0ufk1i4d?opened-from=feed&component-type=main_feed&spot=standard&location=6
7590000.0,5.0,135.0,פרויקט במבצע | RAYK Bavli,18333.33,3,0.029,https://www.yad2.co.il/yad1/project/tel-aviv-area/11089/apartment/1006195?wat=1_0_0_0_22_0_0_7_0_1_61_0_0_77&isRegion=true&matchPrecision=full&isAbTest=true&site=_inres_x1_l_16107_s_ws_ListingBasic_1006195
7320000.0,5.0,131.0,"ירד ב-170,000 ₪ | תוספתא 5",18333.33,3,0.0301,https://www.yad2.co.il/realestate/item/tel-aviv-area/6xanst84?opened-from=feed&component-type=main_feed&spot=standard&location=8
4650000.0,4.0,78.0,"הזוהר 18 | דירה, בבלי, תל אביב יפו",,0,,https://www.yad2.co.il/realestate/item/tel-aviv-area/qvjkwqr3?opened-from=feed&component-type=main_feed&spot=standard&location=9
4150000.0,2.0,64.0,"בבלי 47 | דירה, בבלי, תל אביב יפו",12000.0,1,0.0347,https://www.yad2.co.il/realestate/item/tel-aviv-area/ggbiz0ca?opened-from=feed&component-type=main_feed&spot=standard&location=10
8150000.0,5.0,121.0,"טיילת בבלי 1 | דירה, בבלי, תל אביב יפו",11000.0,1,0.0162,https://www.yad2.co.il/realestate/item/tel-aviv-area/yhby4oym?opened-from=feed&component-type=main_feed&spot=standard&location=11
16243863.0,4.0,227.0,"16,243,863 ₪ | הרב ניסים 7",36000.0,2,0.0266,https://www.yad2.co.il/realestate/item/tel-aviv-area/8660haah?opened-from=feed&component-type=main_feed&spot=booster&location=13
4500000.0,4.0,140.0,גאיה נכסים והשקעות | בן סירא,19500.0,3,0.052,https://www.yad2.co.il/realestate/item/tel-aviv-area/waac5lk4?opened-from=feed&component-type=main_feed&spot=standard&location=14
15000000.0,5.0,235.0,INTOWN | הרב ניסים 9,,0,,https://www.yad2.co.il/realestate/item/tel-aviv-area/yqommbhv?opened-from=feed&component-type=main_feed&spot=standard&location=15
3700000.0,3.0,65.0,ששון נכסים | בבלי,9100.0,4,0.0295,https://www.yad2.co.il/realestate/item/tel-aviv-area/la4ub6ry?opened-from=feed&component-type=main_feed&spot=standard&location=16
5300000.0,3.0,100.0,SUNSET LUXURY REAL ESTATE | בבלי,10990.0,10,0.0249,https://www.yad2.co.il/realestate/item/tel-aviv-area/1jyhiiaf?opened-from=feed&component-type=main_feed&spot=standard&location=17
5350000.0,4.0,110.0,"בתים - הרבה יותר מנדל""ן | בבלי",16500.0,3,0.037,https://www.yad2.co.il/realestate/item/tel-aviv-area/caarn9b4?opened-from=feed&component-type=main_feed&spot=standard&location=18
4190000.0,3.5,106.0,נדלן איש כסית | הרב קוסובסקי,9800.0,1,0.0281,https://www.yad2.co.il/realestate/item/tel-aviv-area/y48izoy7?opened-from=feed&component-type=main_feed&spot=standard&location=19
7200000.0,4.0,125.0,למכירות | הרב קוסובסקי 48,17375.0,4,0.029,https://www.yad2.co.il/realestate/item/tel-aviv-area/z01nz4ld?opened-from=feed&component-type=main_feed&spot=standard&location=20
6400000.0,4.0,160.0,עזרא-נכסים | הרב עוזיאל,22125.0,4,0.0415,https://www.yad2.co.il/realestate/item/tel-aviv-area/svhwmg8a?opened-from=feed&component-type=main_feed&spot=standard&location=21
5200000.0,3.0,101.0,"יש נדל""ן | סנהדרין 13",11525.0,8,0.0266,https://www.yad2.co.il/realestate/item/tel-aviv-area/yfvtefde?opened-from=feed&component-type=main_feed&spot=standard&location=22
4900000.0,4.0,135.0,שרביט נכסים | בבלי,17375.0,4,0.0426,https://www.yad2.co.il/realestate/item/tel-aviv-area/b783xlok?opened-from=feed&component-type=main_feed&spot=standard&location=23
16243863.0,4.0,227.0,פאר תיווך נכסים | הרב ניסים 7,36000.0,2,0.0266,https://www.yad2.co.il/realestate/item/tel-aviv-area/8660haah?opened-from=feed&component-type=main_feed&spot=standard&location=24
5700000.0,4.0,120.0,עזרא-נכסים | הכנסת הגדולה,17375.0,4,0.0366,https://www.yad2.co.il/realestate/item/tel-aviv-area/az73ksog?opened-from=feed&component-type=main_feed&spot=standard&location=25
