price,rooms,size_sqm,floor,address,link,source,price_per_sqm
19000000.0,4.0,205.0,27,ישראהום נכסים | בבלי,https://www.yad2.co.il/realestate/item/tel-aviv-area/847srlgc?opened-from=feed&component-type=main_feed&spot=platinum&location=1,sale,92682.93
22000000.0,5.0,168.0,19,הומלנד -בית ממכר נכסים | יוסף פעמוני,https://www.yad2.co.il/realestate/item/tel-aviv-area/o50irl6y?opened-from=feed&component-type=main_feed&spot=platinum&location=2,sale,130952.38
12300000.0,4.0,186.0,7,"ה' באייר נדל""ן | הרב ניסים",https://www.yad2.co.il/realestate/item/tel-aviv-area/bw1520uh?opened-from=feed&component-type=main_feed&spot=platinum&location=3,sale,66129.03
2500000.0,2.0,47.0,10,החל מ- | אוסוולדו ארניה 8,https://www.yad2.co.il/realestate/item/tel-aviv-area/wym6mcxl?opened-from=feed&component-type=main_feed&spot=look_alike&location=999,sale,53191.49
2450000.0,2.0,40.0,3,"בבלי 17 | דירה, בבלי, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/0ufk1i4d?opened-from=feed&component-type=main_feed&spot=standard&location=6,sale,61250.0
7590000.0,5.0,135.0,,פרויקט במבצע | RAYK Bavli,https://www.yad2.co.il/yad1/project/tel-aviv-area/11089/apartment/1006195?wat=1_0_0_0_22_0_0_7_0_1_61_0_0_77&isRegion=true&matchPrecision=full&isAbTest=true&site=_inres_x1_l_16107_s_ws_ListingBasic_1006195,sale,56222.22
7320000.0,5.0,131.0,5,"ירד ב-170,000 ₪ | תוספתא 5",https://www.yad2.co.il/realestate/item/tel-aviv-area/6xanst84?opened-from=feed&component-type=main_feed&spot=standard&location=8,sale,55877.86
4650000.0,4.0,78.0,2,"הזוהר 18 | דירה, בבלי, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/qvjkwqr3?opened-from=feed&component-type=main_feed&spot=standard&location=9,sale,59615.38
4150000.0,2.0,64.0,5,"בבלי 47 | דירה, בבלי, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/ggbiz0ca?opened-from=feed&component-type=main_feed&spot=standard&location=10,sale,64843.75
8150000.0,5.0,121.0,1,"טיילת בבלי 1 | דירה, בבלי, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/yhby4oym?opened-from=feed&component-type=main_feed&spot=standard&location=11,sale,67355.37
16243863.0,4.0,227.0,36,"16,243,863 ₪ | הרב ניסים 7",https://www.yad2.co.il/realestate/item/tel-aviv-area/8660haah?opened-from=feed&component-type=main_feed&spot=booster&location=13,sale,71558.87
4500000.0,4.0,140.0,3,גאיה נכסים והשקעות | בן סירא,https://www.yad2.co.il/realestate/item/tel-aviv-area/waac5lk4?opened-from=feed&component-type=main_feed&spot=standard&location=14,sale,32142.86
15000000.0,5.0,235.0,10,INTOWN | הרב ניסים 9,https://www.yad2.co.il/realestate/item/tel-aviv-area/yqommbhv?opened-from=feed&component-type=main_feed&spot=standard&location=15,sale,63829.79
3700000.0,3.0,65.0,5,ששון נכסים | בבלי,https://www.yad2.co.il/realestate/item/tel-aviv-area/la4ub6ry?opened-from=feed&component-type=main_feed&spot=standard&location=16,sale,56923.08
5300000.0,3.0,100.0,2,SUNSET LUXURY REAL ESTATE | בבלי,https://www.yad2.co.il/realestate/item/tel-aviv-area/1jyhiiaf?opened-from=feed&component-type=main_feed&spot=standard&location=17,sale,53000.0
5350000.0,4.0,110.0,5,"בתים - הרבה יותר מנדל""ן | בבלי",https://www.yad2.co.il/realestate/item/tel-aviv-area/caarn9b4?opened-from=feed&component-type=main_feed&spot=standard&location=18,sale,48636.36
4190000.0,3.5,106.0,קרקע,נדלן איש כסית | הרב קוסובסקי,https://www.yad2.co.il/realestate/item/tel-aviv-area/y48izoy7?opened-from=feed&component-type=main_feed&spot=standard&location=19,sale,39528.3
7200000.0,4.0,125.0,4,למכירות | הרב קוסובסקי 48,https://www.yad2.co.il/realestate/item/tel-aviv-area/z01nz4ld?opened-from=feed&component-type=main_feed&spot=standard&location=20,sale,57600.0
6400000.0,4.0,160.0,7,עזרא-נכסים | הרב עוזיאל,https://www.yad2.co.il/realestate/item/tel-aviv-area/svhwmg8a?opened-from=feed&component-type=main_feed&spot=standard&location=21,sale,40000.0
5200000.0,3.0,101.0,3,"יש נדל""ן | סנהדרין 13",https://www.yad2.co.il/realestate/item/tel-aviv-area/yfvtefde?opened-from=feed&component-type=main_feed&spot=standard&location=22,sale,51485.15
4900000.0,4.0,135.0,3,שרביט נכסים | בבלי,https://www.yad2.co.il/realestate/item/tel-aviv-area/b783xlok?opened-from=feed&component-type=main_feed&spot=standard&location=23,sale,36296.3
16243863.0,4.0,227.0,36,פאר תיווך נכסים | הרב ניסים 7,https://www.yad2.co.il/realestate/item/tel-aviv-area/8660haah?opened-from=feed&component-type=main_feed&spot=standard&location=24,sale,71558.87
5700000.0,4.0,120.0,4,עזרא-נכסים | הכנסת הגדולה,https://www.yad2.co.il/realestate/item/tel-aviv-area/az73ksog?opened-from=feed&component-type=main_feed&spot=standard&location=25,sale,47500.0
4875000.0,4.0,117.0,10,לי ירמיהו - נכס תל אביבי | הרב הרצוג 20,https://www.yad2.co.il/realestate/item/tel-aviv-area/h6ct8orw?opened-from=feed&component-type=main_feed&spot=standard&location=26,sale,41666.67
4100000.0,4.0,100.0,1,"ה' באייר נדל""ן | הרב הרצוג 2",https://www.yad2.co.il/realestate/item/tel-aviv-area/hedjtkzm?opened-from=feed&component-type=main_feed&spot=standard&location=27,sale,41000.0
4700000.0,4.0,116.0,2,אורית רז | הרב הרצוג,https://www.yad2.co.il/realestate/item/tel-aviv-area/tymlvl89?opened-from=feed&component-type=main_feed&spot=standard&location=28,sale,40517.24
12300000.0,4.0,186.0,7,"ה' באייר נדל""ן | הרב ניסים 7",https://www.yad2.co.il/realestate/item/tel-aviv-area/arh1zxau?opened-from=feed&component-type=main_feed&spot=standard&location=29,sale,66129.03
8150000.0,4.0,160.0,8,הומלנד -בית ממכר נכסים | הרב ניסים,https://www.yad2.co.il/realestate/item/tel-aviv-area/d7cctaxi?opened-from=feed&component-type=main_feed&spot=standard&location=30,sale,50937.5
13500000.0,4.0,174.0,28,"נדל""ן לב ת""א | הרב ניסים 9",https://www.yad2.co.il/realestate/item/tel-aviv-area/ykl7bkz4?opened-from=feed&component-type=main_feed&spot=standard&location=31,sale,77586.21
