purchase_price,rooms,size_sqm,address,avg_comparable_rent,comparable_rent_count,estimated_gross_yield,link
3190000.0,5.0,135.0,רימקס Success | אפרים קישון 6,7250.0,2,0.0273,https://www.yad2.co.il/realestate/item/center-and-sharon/yjrnbd65?opened-from=feed&component-type=main_feed&spot=platinum&location=1
2799999.0,5.0,122.0,אור נכסים | אפרים קישון,7250.0,2,0.0311,https://www.yad2.co.il/realestate/item/center-and-sharon/v9uxdc4i?opened-from=feed&component-type=main_feed&spot=platinum&location=2
2680000.0,4.5,149.0,"KS נדל""ן | חתני פרס ישראל",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/gbnfsr2w?opened-from=feed&component-type=main_feed&spot=platinum&location=3
2350000.0,4.0,109.0,החל מ- | שא נס,,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/db3q4gf6?opened-from=feed&component-type=main_feed&spot=look_alike&location=999
2999000.0,5.0,139.0,"אפרים קישון 14 | דירה, חתני פרס ישראל, באר יעקב",7250.0,2,0.029,https://www.yad2.co.il/realestate/item/center-and-sharon/9gzpo44q?opened-from=feed&component-type=main_feed&spot=standard&location=5
,4.0,75.0,פרויקט חדש | Y TOWN,,0,,https://www.yad2.co.il/yad1/project/center-and-sharon/12463/apartment/1002878?wat=1_0_0_0_22_0_0_6_0_1_53_0_0_77&isRegion=true&site=_inres_x1_l_18106_s_ws_Solo_1002878
,5.0,150.0,לא צוין מחיר | אפרים קישון 8,7250.0,2,,https://www.yad2.co.il/realestate/item/center-and-sharon/slmslsy6?opened-from=feed&component-type=main_feed&spot=standard&location=7
2790000.0,5.0,135.0,"אפרים קישון 6 | דירה, חתני פרס ישראל, באר יעקב",7250.0,2,0.0312,https://www.yad2.co.il/realestate/item/center-and-sharon/x5j4h35c?opened-from=feed&component-type=main_feed&spot=standard&location=8
2680000.0,4.0,108.0,"אפרים קישון 14 | דירה, חתני פרס ישראל, באר יעקב",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/o1jglrnf?opened-from=feed&component-type=main_feed&spot=standard&location=9
2500000.0,4.0,123.0,"אפרים קישון 5 | דירה, חתני פרס ישראל, באר יעקב",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/j8fvhnjl?opened-from=feed&component-type=main_feed&spot=standard&location=10
2530000.0,4.0,110.0,"ירד ב-90,000 ₪ | אפרים קישון 20",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/31c1k8bm?opened-from=feed&component-type=main_feed&spot=standard&location=11
2750000.0,4.0,124.0,"אפרים קישון 14 | דירה, חתני פרס ישראל, באר יעקב",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/u9dm3y6n?opened-from=feed&component-type=main_feed&spot=standard&location=12
2700000.0,4.0,116.0,"אהוד מנור 1 | דירה, חתני פרס ישראל, באר יעקב",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/pbw9m67v?opened-from=feed&component-type=main_feed&spot=standard&location=13
2570000.0,4.0,102.0,"אפרים קישון 4 | דירה, חתני פרס ישראל, באר יעקב",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/9dzsbfrl?opened-from=feed&component-type=main_feed&spot=standard&location=14
2670000.0,4.0,118.0,"לאה גולדברג 6 | דירה, חתני פרס ישראל, באר יעקב",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/51ozdyre?opened-from=feed&component-type=main_feed&spot=standard&location=18
2800000.0,4.5,136.0,"אהוד מנור 7 | דירה, חתני פרס ישראל, באר יעקב",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/t3bm8iv9?opened-from=feed&component-type=main_feed&spot=standard&location=19
2890000.0,5.0,125.0,"אפרים קישון 18 | דירה, חתני פרס ישראל, באר יעקב",7250.0,2,0.0301,https://www.yad2.co.il/realestate/item/center-and-sharon/0pu2zmjv?opened-from=feed&component-type=main_feed&spot=standard&location=20
2500000.0,4.0,114.0,"אהוד מנור 1 | דירה, חתני פרס ישראל, באר יעקב",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/cwlwjo44?opened-from=feed&component-type=main_feed&spot=standard&location=21
2520000.0,4.0,120.0,"אפרים קישון 22 | דירה, חתני פרס ישראל, באר יעקב",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/x8mmevsv?opened-from=feed&component-type=main_feed&spot=standard&location=22
3400000.0,4.0,108.0,פרויקט חדש | FAVORITE פייבוריט,,0,,https://www.yad2.co.il/yad1/project/center-and-sharon/10988/apartment/1003874?wat=1_0_0_0_22_0_0_23_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15123_s_ws_ListingPro_1003874
,5.0,121.0,פרויקט חדש | BE YA,7250.0,2,,https://www.yad2.co.il/yad1/project/center-and-sharon/15981/apartment/1001224?wat=1_0_0_0_22_0_0_24_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15124_s_ws_ListingPro_1001224
2680000.0,4.5,134.0,"KS נדל""ן | אהוד מנור",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/8j2zapsk?opened-from=feed&component-type=main_feed&spot=standard&location=25
2500000.0,4.0,110.0,"ירד ב-80,000 ₪ | קומפאס",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/znm2t7z8?opened-from=feed&component-type=main_feed&spot=standard&location=26
2450000.0,4.0,104.0,מונדו נכסים | אפרים קישון,,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/bgxyilpi?opened-from=feed&component-type=main_feed&spot=standard&location=27
2590000.0,4.0,113.0,אור נכסים | אפרים קישון,,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/yslyi94d?opened-from=feed&component-type=main_feed&spot=standard&location=28
2550000.0,4.0,110.0,"קרויזמן יועצי נדל""ן | אפרים קישון",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/ggnnayma?opened-from=feed&component-type=main_feed&spot=standard&location=29
3190000.0,5.0,135.0,רימקס Success | אפרים קישון 6,7250.0,2,0.0273,https://www.yad2.co.il/realestate/item/center-and-sharon/yjrnbd65?opened-from=feed&component-type=main_feed&spot=standard&location=30
2690000.0,4.5,112.0,מונדו נכסים | אהוד מנור,,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/fpo7wfvh?opened-from=feed&component-type=main_feed&spot=standard&location=31
2750000.0,5.0,130.0,A.Y.nadlan | אפרים קישון 20,7250.0,2,0.0316,https://www.yad2.co.il/realestate/item/center-and-sharon/4z6h1jaa?opened-from=feed&component-type=main_feed&spot=standard&location=32
