price,rooms,size_sqm,floor,address,link,source,price_per_sqm
3190000.0,5.0,135.0,8,רימקס Success | אפרים קישון 6,https://www.yad2.co.il/realestate/item/center-and-sharon/yjrnbd65?opened-from=feed&component-type=main_feed&spot=platinum&location=1,sale,23629.63
2799999.0,5.0,122.0,9,אור נכסים | אפרים קישון,https://www.yad2.co.il/realestate/item/center-and-sharon/v9uxdc4i?opened-from=feed&component-type=main_feed&spot=platinum&location=2,sale,22950.81
2680000.0,4.5,149.0,13,"KS נדל""ן | חתני פרס ישראל",https://www.yad2.co.il/realestate/item/center-and-sharon/gbnfsr2w?opened-from=feed&component-type=main_feed&spot=platinum&location=3,sale,17986.58
2350000.0,4.0,109.0,1,החל מ- | שא נס,https://www.yad2.co.il/realestate/item/center-and-sharon/db3q4gf6?opened-from=feed&component-type=main_feed&spot=look_alike&location=999,sale,21559.63
2999000.0,5.0,139.0,6,"אפרים קישון 14 | דירה, חתני פרס ישראל, באר יעקב",https://www.yad2.co.il/realestate/item/center-and-sharon/9gzpo44q?opened-from=feed&component-type=main_feed&spot=standard&location=5,sale,21575.54
,4.0,75.0,3-25,פרויקט חדש | Y TOWN,https://www.yad2.co.il/yad1/project/center-and-sharon/12463/apartment/1002878?wat=1_0_0_0_22_0_0_6_0_1_53_0_0_77&isRegion=true&site=_inres_x1_l_18106_s_ws_Solo_1002878,sale,
,5.0,150.0,11,לא צוין מחיר | אפרים קישון 8,https://www.yad2.co.il/realestate/item/center-and-sharon/slmslsy6?opened-from=feed&component-type=main_feed&spot=standard&location=7,sale,
2790000.0,5.0,135.0,9,"אפרים קישון 6 | דירה, חתני פרס ישראל, באר יעקב",https://www.yad2.co.il/realestate/item/center-and-sharon/x5j4h35c?opened-from=feed&component-type=main_feed&spot=standard&location=8,sale,20666.67
2680000.0,4.0,108.0,4,"אפרים קישון 14 | דירה, חתני פרס ישראל, באר יעקב",https://www.yad2.co.il/realestate/item/center-and-sharon/o1jglrnf?opened-from=feed&component-type=main_feed&spot=standard&location=9,sale,24814.81
2500000.0,4.0,123.0,8,"אפרים קישון 5 | דירה, חתני פרס ישראל, באר יעקב",https://www.yad2.co.il/realestate/item/center-and-sharon/j8fvhnjl?opened-from=feed&component-type=main_feed&spot=standard&location=10,sale,20325.2
2530000.0,4.0,110.0,7,"ירד ב-90,000 ₪ | אפרים קישון 20",https://www.yad2.co.il/realestate/item/center-and-sharon/31c1k8bm?opened-from=feed&component-type=main_feed&spot=standard&location=11,sale,23000.0
2750000.0,4.0,124.0,8,"אפרים קישון 14 | דירה, חתני פרס ישראל, באר יעקב",https://www.yad2.co.il/realestate/item/center-and-sharon/u9dm3y6n?opened-from=feed&component-type=main_feed&spot=standard&location=12,sale,22177.42
2700000.0,4.0,116.0,2,"אהוד מנור 1 | דירה, חתני פרס ישראל, באר יעקב",https://www.yad2.co.il/realestate/item/center-and-sharon/pbw9m67v?opened-from=feed&component-type=main_feed&spot=standard&location=13,sale,23275.86
2570000.0,4.0,102.0,1,"אפרים קישון 4 | דירה, חתני פרס ישראל, באר יעקב",https://www.yad2.co.il/realestate/item/center-and-sharon/9dzsbfrl?opened-from=feed&component-type=main_feed&spot=standard&location=14,sale,25196.08
2670000.0,4.0,118.0,4,"לאה גולדברג 6 | דירה, חתני פרס ישראל, באר יעקב",https://www.yad2.co.il/realestate/item/center-and-sharon/51ozdyre?opened-from=feed&component-type=main_feed&spot=standard&location=18,sale,22627.12
2800000.0,4.5,136.0,10,"אהוד מנור 7 | דירה, חתני פרס ישראל, באר יעקב",https://www.yad2.co.il/realestate/item/center-and-sharon/t3bm8iv9?opened-from=feed&component-type=main_feed&spot=standard&location=19,sale,20588.24
2890000.0,5.0,125.0,2,"אפרים קישון 18 | דירה, חתני פרס ישראל, באר יעקב",https://www.yad2.co.il/realestate/item/center-and-sharon/0pu2zmjv?opened-from=feed&component-type=main_feed&spot=standard&location=20,sale,23120.0
2500000.0,4.0,114.0,1,"אהוד מנור 1 | דירה, חתני פרס ישראל, באר יעקב",https://www.yad2.co.il/realestate/item/center-and-sharon/cwlwjo44?opened-from=feed&component-type=main_feed&spot=standard&location=21,sale,21929.82
2520000.0,4.0,120.0,4,"אפרים קישון 22 | דירה, חתני פרס ישראל, באר יעקב",https://www.yad2.co.il/realestate/item/center-and-sharon/x8mmevsv?opened-from=feed&component-type=main_feed&spot=standard&location=22,sale,21000.0
3400000.0,4.0,108.0,,פרויקט חדש | FAVORITE פייבוריט,https://www.yad2.co.il/yad1/project/center-and-sharon/10988/apartment/1003874?wat=1_0_0_0_22_0_0_23_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15123_s_ws_ListingPro_1003874,sale,31481.48
,5.0,121.0,,פרויקט חדש | BE YA,https://www.yad2.co.il/yad1/project/center-and-sharon/15981/apartment/1001224?wat=1_0_0_0_22_0_0_24_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15124_s_ws_ListingPro_1001224,sale,
2680000.0,4.5,134.0,13,"KS נדל""ן | אהוד מנור",https://www.yad2.co.il/realestate/item/center-and-sharon/8j2zapsk?opened-from=feed&component-type=main_feed&spot=standard&location=25,sale,20000.0
2500000.0,4.0,110.0,5,"ירד ב-80,000 ₪ | קומפאס",https://www.yad2.co.il/realestate/item/center-and-sharon/znm2t7z8?opened-from=feed&component-type=main_feed&spot=standard&location=26,sale,22727.27
