purchase_price,rooms,size_sqm,address,avg_comparable_rent,comparable_rent_count,estimated_gross_yield,link
4800000.0,4.0,90.0,שפירא נכסים | פינס,5690000.0,1,14.225,https://www.yad2.co.il/realestate/item/tel-aviv-area/ancodcdp?opened-from=feed&component-type=main_feed&spot=platinum&location=1
5990000.0,3.0,83.0,Harova - Real Estate | יצחק אלחנן,11125.0,4,0.0223,https://www.yad2.co.il/realestate/item/tel-aviv-area/c62oemmn?opened-from=feed&component-type=main_feed&spot=platinum&location=2
14000000.0,6.0,195.0,Properties-il tel aviv | שלוש,19800.0,1,0.017,https://www.yad2.co.il/realestate/item/tel-aviv-area/a93tzksf?opened-from=feed&component-type=main_feed&spot=platinum&location=3
15700000.0,4.0,244.0,החל מ- | מרכז בעלי מלאכה,,0,,https://www.yad2.co.il/realestate/item/tel-aviv-area/z78133xs?opened-from=feed&component-type=main_feed&spot=look_alike&location=999
6799000.0,3.0,96.0,"ראשונים 14 | דופלקס, נווה צדק, תל אביב יפו",13875.0,4,0.0245,https://www.yad2.co.il/realestate/item/tel-aviv-area/5klxgzad?opened-from=feed&component-type=main_feed&spot=standard&location=5
7800000.0,4.0,115.0,"יהודה הלוי 10 | דירת גן, נווה צדק, תל אביב יפו",2853500.0,2,4.39,https://www.yad2.co.il/realestate/item/tel-aviv-area/uv7ku9gw?opened-from=feed&component-type=main_feed&spot=standard&location=6
5690000.0,4.0,95.0,פרויקט במבצע | פלורנטין טאוור,5690000.0,1,12.0,https://www.yad2.co.il/yad1/project/tel-aviv-area/15787/apartment/1001114?wat=1_0_0_0_22_0_0_7_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15107_s_ws_ListingPro_1001114
49990000.0,7.0,520.0,"49,990,000 ₪ | נווה צדק",85000.0,1,0.0204,https://www.yad2.co.il/realestate/item/tel-aviv-area/ex4pcobq?opened-from=feed&component-type=main_feed&spot=booster&location=9
19500000.0,6.0,249.0,צ'יץ יזמות ושיווק נדל''ן | נווה צדק,,0,,https://www.yad2.co.il/realestate/item/tel-aviv-area/kte7gblj?opened-from=feed&component-type=main_feed&spot=standard&location=10
6490000.0,,200.0,רוזיו נכסים | נווה שלום,20708.86,7,0.0383,https://www.yad2.co.il/realestate/item/tel-aviv-area/8y1jav9w?opened-from=feed&component-type=main_feed&spot=standard&location=11
