price,rooms,size_sqm,floor,address,link,source,price_per_sqm
4800000.0,4.0,90.0,1,שפירא נכסים | פינס,https://www.yad2.co.il/realestate/item/tel-aviv-area/ancodcdp?opened-from=feed&component-type=main_feed&spot=platinum&location=1,sale,53333.33
5990000.0,3.0,83.0,1,Harova - Real Estate | יצחק אלחנן,https://www.yad2.co.il/realestate/item/tel-aviv-area/c62oemmn?opened-from=feed&component-type=main_feed&spot=platinum&location=2,sale,72168.67
14000000.0,6.0,195.0,קרקע,Properties-il tel aviv | שלוש,https://www.yad2.co.il/realestate/item/tel-aviv-area/a93tzksf?opened-from=feed&component-type=main_feed&spot=platinum&location=3,sale,71794.87
15700000.0,4.0,244.0,5,החל מ- | מרכז בעלי מלאכה,https://www.yad2.co.il/realestate/item/tel-aviv-area/z78133xs?opened-from=feed&component-type=main_feed&spot=look_alike&location=999,sale,64344.26
6799000.0,3.0,96.0,3,"ראשונים 14 | דופלקס, נווה צדק, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/5klxgzad?opened-from=feed&component-type=main_feed&spot=standard&location=5,sale,70822.92
7800000.0,4.0,115.0,קרקע,"יהודה הלוי 10 | דירת גן, נווה צדק, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/uv7ku9gw?opened-from=feed&component-type=main_feed&spot=standard&location=6,sale,67826.09
5690000.0,4.0,95.0,1-15,פרויקט במבצע | פלורנטין טאוור,https://www.yad2.co.il/yad1/project/tel-aviv-area/15787/apartment/1001114?wat=1_0_0_0_22_0_0_7_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15107_s_ws_ListingPro_1001114,sale,59894.74
49990000.0,7.0,520.0,קרקע,"49,990,000 ₪ | נווה צדק",https://www.yad2.co.il/realestate/item/tel-aviv-area/ex4pcobq?opened-from=feed&component-type=main_feed&spot=booster&location=9,sale,96134.62
19500000.0,6.0,249.0,קרקע,צ'יץ יזמות ושיווק נדל''ן | נווה צדק,https://www.yad2.co.il/realestate/item/tel-aviv-area/kte7gblj?opened-from=feed&component-type=main_feed&spot=standard&location=10,sale,78313.25
6490000.0,,200.0,קרקע,רוזיו נכסים | נווה שלום,https://www.yad2.co.il/realestate/item/tel-aviv-area/8y1jav9w?opened-from=feed&component-type=main_feed&spot=standard&location=11,sale,32450.0
