price,rooms,size_sqm,floor,address,link,source,price_per_sqm
7500.0,3.0,93.0,1,next space real estate | הקישון 87,https://www.yad2.co.il/realestate/item/tel-aviv-area/8kk91b1x?opened-from=feed&component-type=main_feed&spot=platinum&location=1,rent,80.65
9700.0,3.0,90.0,1,פאר תיווך נכסים | פלורנטין,https://www.yad2.co.il/realestate/item/tel-aviv-area/hd7ukjvj?opened-from=feed&component-type=main_feed&spot=platinum&location=2,rent,107.78
5500.0,1.0,37.0,4,PRO HOUSE | הרצל 110,https://www.yad2.co.il/realestate/item/tel-aviv-area/akqjt8pw?opened-from=feed&component-type=main_feed&spot=platinum&location=3,rent,148.65
8000.0,3.0,67.0,1,החל מ- | ישעיהו,https://www.yad2.co.il/realestate/item/tel-aviv-area/cw8anw2j?opened-from=feed&component-type=main_feed&spot=look_alike&location=999,rent,119.4
5000.0,1.0,50.0,קרקע,"ירד ב-1,500 ₪ | אברבנאל 7",https://www.yad2.co.il/realestate/item/tel-aviv-area/13yp0pv8?opened-from=feed&component-type=main_feed&spot=standard&location=4,rent,100.0
4500.0,1.5,35.0,1,"אילת 48 | יחידת דיור, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/22ukgci9?opened-from=feed&component-type=main_feed&spot=standard&location=5,rent,128.57
900.0,1.0,8.0,קרקע,"קומפרט 9 | חניה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/2t8n64we?opened-from=feed&component-type=main_feed&spot=standard&location=6,rent,112.5
4750.0,1.5,39.0,קרקע,"חיים בן עטר 11 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/0bp4pza3?opened-from=feed&component-type=main_feed&spot=standard&location=7,rent,121.79
4500.0,1.0,25.0,2,"מרחביה 7 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/ybxdrip0?opened-from=feed&component-type=main_feed&spot=standard&location=8,rent,180.0
8500.0,3.0,80.0,3,"השוק 37 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/i0ldwi8l?opened-from=feed&component-type=main_feed&spot=standard&location=9,rent,106.25
8800.0,2.0,80.0,5,"שדרות וושינגטון 18 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/b7pcfj5q?opened-from=feed&component-type=main_feed&spot=standard&location=10,rent,110.0
4350.0,1.5,28.0,2,"הקישון 79 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/kfppbfy0?opened-from=feed&component-type=main_feed&spot=standard&location=11,rent,155.36
10500.0,3.0,74.0,3,"שדרות וושינגטון 29 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/h7hfuqvv?opened-from=feed&component-type=main_feed&spot=standard&location=12,rent,141.89
4250.0,2.0,35.0,קרקע,ירד ב-250 ₪ | המשביר 5,https://www.yad2.co.il/realestate/item/tel-aviv-area/nrm6paul?opened-from=feed&component-type=main_feed&spot=standard&location=13,rent,121.43
10800.0,4.0,113.0,5,"מעון 3 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/gpqezlic?opened-from=feed&component-type=main_feed&spot=standard&location=14,rent,95.58
5600.0,2.0,50.0,3,"נחלת בנימין 136 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/ns07g7cq?opened-from=feed&component-type=main_feed&spot=standard&location=15,rent,112.0
3000.0,1.0,20.0,קרקע,"פלורנטין 1 | יחידת דיור, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/9wz1t6do?opened-from=feed&component-type=main_feed&spot=standard&location=16,rent,150.0
6800.0,2.0,50.0,7,"אברבנאל 74 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/c5fq4xyw?opened-from=feed&component-type=main_feed&spot=standard&location=17,rent,136.0
7200.0,2.0,47.0,3,"מעון 5 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/8z45u4hs?opened-from=feed&component-type=main_feed&spot=standard&location=18,rent,153.19
5700.0,3.0,63.0,1,"העלייה 50 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/ba2r2z6p?opened-from=feed&component-type=main_feed&spot=standard&location=19,rent,90.48
7500.0,3.0,105.0,2,"הרצל 89 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/2c5zv96w?opened-from=feed&component-type=main_feed&spot=standard&location=20,rent,71.43
4700.0,2.0,35.0,קרקע,"הקישון 15 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/wcp11vzy?opened-from=feed&component-type=main_feed&spot=standard&location=21,rent,134.29
7500.0,2.0,50.0,4,"נחלת בנימין 124 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/vpu8xe1h?opened-from=feed&component-type=main_feed&spot=standard&location=22,rent,150.0
2800.0,3.0,70.0,1,"חצרים 22 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/1s5n3wgv?opened-from=feed&component-type=main_feed&spot=standard&location=23,rent,40.0
5690000.0,4.0,95.0,1-15,פרויקט במבצע | פלורנטין טאוור,https://www.yad2.co.il/yad1/project/tel-aviv-area/15787/apartment/1001114?wat=1_0_0_0_22_0_0_24_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15224_r_ws_ListingPro_1001114,rent,59894.74
8500.0,2.0,75.0,2,"8,500 ₪ | שדרות וושינגטון 29",https://www.yad2.co.il/realestate/item/tel-aviv-area/wr5g3bml?opened-from=feed&component-type=main_feed&spot=booster&location=26,rent,113.33
8500.0,2.5,80.0,5,ירד ב-300 ₪ | אליה פרנקו,https://www.yad2.co.il/realestate/item/tel-aviv-area/h035lvha?opened-from=feed&component-type=main_feed&spot=standard&location=27,rent,106.25
6800.0,2.0,50.0,1,דניה - URBANIX | נחלת בנימין 133,https://www.yad2.co.il/realestate/item/tel-aviv-area/s3jxgic7?opened-from=feed&component-type=main_feed&spot=standard&location=28,rent,136.0
7500.0,3.0,80.0,2,next space real estate | קורדוברו 8,https://www.yad2.co.il/realestate/item/tel-aviv-area/qh6f2u6y?opened-from=feed&component-type=main_feed&spot=standard&location=29,rent,93.75
3750.0,1.0,50.0,4,גלובס נכסים | גבולות 4,https://www.yad2.co.il/realestate/item/tel-aviv-area/2vnojrpj?opened-from=feed&component-type=main_feed&spot=standard&location=30,rent,75.0
