purchase_price,rooms,size_sqm,address,avg_comparable_rent,comparable_rent_count,estimated_gross_yield,link
2290000.0,2.0,39.0,"יש נדל""ן | הרב יצחק ידידיה פרנקל 7",5012.5,4,0.0263,https://www.yad2.co.il/realestate/item/tel-aviv-area/4vajqiv3?opened-from=feed&component-type=main_feed&spot=platinum&location=1
3100000.0,2.0,65.0,סוקולוב נכסים | לוינסקי 2,7140.0,5,0.0276,https://www.yad2.co.il/realestate/item/tel-aviv-area/quilus1c?opened-from=feed&component-type=main_feed&spot=platinum&location=2
3500000.0,3.0,84.0,ONE REAL ESTATE | שדרות וושינגטון 27,7750.0,6,0.0266,https://www.yad2.co.il/realestate/item/tel-aviv-area/nxb38sa1?opened-from=feed&component-type=main_feed&spot=platinum&location=3
1000000.0,2.0,29.0,החל מ- | בת שבע כצנלסון 14,,0,,https://www.yad2.co.il/realestate/item/tel-aviv-area/4fmbmz7l?opened-from=feed&component-type=main_feed&spot=look_alike&location=999
4100000.0,3.0,80.0,"זבולון 26 | דירה, פלורנטין, תל אביב יפו",7785.71,7,0.0228,https://www.yad2.co.il/realestate/item/tel-aviv-area/035vuugz?opened-from=feed&component-type=main_feed&spot=standard&location=5
2100000.0,1.0,33.0,"המשביר 18 | דירה, פלורנטין, תל אביב יפו",5500.0,1,0.0314,https://www.yad2.co.il/realestate/item/tel-aviv-area/6qafhoy4?opened-from=feed&component-type=main_feed&spot=standard&location=6
14500000.0,,360.0,"כפר גלעדי 7 | בניין מגורים, פלורנטין, תל אביב יפו",9662.0,1,0.008,https://www.yad2.co.il/realestate/item/tel-aviv-area/knn5li8u?opened-from=feed&component-type=main_feed&spot=standard&location=7
3890000.0,2.5,60.0,"אוריאל אקוסטה 3 | דירה, פלורנטין, תל אביב יפו",7000.0,1,0.0216,https://www.yad2.co.il/realestate/item/tel-aviv-area/a6g4tfps?opened-from=feed&component-type=main_feed&spot=standard&location=8
4100000.0,3.0,80.0,"בנבנישתי 8 | דירה, פלורנטין, תל אביב יפו",7785.71,7,0.0228,https://www.yad2.co.il/realestate/item/tel-aviv-area/1f8vbued?opened-from=feed&component-type=main_feed&spot=standard&location=9
5690000.0,4.0,95.0,פרויקט במבצע | פלורנטין טאוור,2850400.0,2,6.0114,https://www.yad2.co.il/yad1/project/tel-aviv-area/15787/apartment/1001114?wat=1_0_0_0_22_0_0_10_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15110_s_ws_ListingPro_1001114
3550000.0,3.0,78.0,"3,550,000 ₪ | מעון",7525.0,8,0.0254,https://www.yad2.co.il/realestate/item/tel-aviv-area/7sb2iydm?opened-from=feed&component-type=main_feed&spot=booster&location=12
