price,rooms,size_sqm,floor,address,link,source,price_per_sqm
2290000.0,2.0,39.0,4,"יש נדל""ן | הרב יצחק ידידיה פרנקל 7",https://www.yad2.co.il/realestate/item/tel-aviv-area/4vajqiv3?opened-from=feed&component-type=main_feed&spot=platinum&location=1,sale,58717.95
3100000.0,2.0,65.0,2,סוקולוב נכסים | לוינסקי 2,https://www.yad2.co.il/realestate/item/tel-aviv-area/quilus1c?opened-from=feed&component-type=main_feed&spot=platinum&location=2,sale,47692.31
3500000.0,3.0,84.0,2,ONE REAL ESTATE | שדרות וושינגטון 27,https://www.yad2.co.il/realestate/item/tel-aviv-area/nxb38sa1?opened-from=feed&component-type=main_feed&spot=platinum&location=3,sale,41666.67
1000000.0,2.0,29.0,1,החל מ- | בת שבע כצנלסון 14,https://www.yad2.co.il/realestate/item/tel-aviv-area/4fmbmz7l?opened-from=feed&component-type=main_feed&spot=look_alike&location=999,sale,34482.76
4100000.0,3.0,80.0,1,"זבולון 26 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/035vuugz?opened-from=feed&component-type=main_feed&spot=standard&location=5,sale,51250.0
2100000.0,1.0,33.0,1,"המשביר 18 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/6qafhoy4?opened-from=feed&component-type=main_feed&spot=standard&location=6,sale,63636.36
14500000.0,,360.0,קרקע,"כפר גלעדי 7 | בניין מגורים, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/knn5li8u?opened-from=feed&component-type=main_feed&spot=standard&location=7,sale,40277.78
3890000.0,2.5,60.0,1,"אוריאל אקוסטה 3 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/a6g4tfps?opened-from=feed&component-type=main_feed&spot=standard&location=8,sale,64833.33
4100000.0,3.0,80.0,2,"בנבנישתי 8 | דירה, פלורנטין, תל אביב יפו",https://www.yad2.co.il/realestate/item/tel-aviv-area/1f8vbued?opened-from=feed&component-type=main_feed&spot=standard&location=9,sale,51250.0
5690000.0,4.0,95.0,1-15,פרויקט במבצע | פלורנטין טאוור,https://www.yad2.co.il/yad1/project/tel-aviv-area/15787/apartment/1001114?wat=1_0_0_0_22_0_0_10_0_1_55_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_15110_s_ws_ListingPro_1001114,sale,59894.74
3550000.0,3.0,78.0,8,"3,550,000 ₪ | מעון",https://www.yad2.co.il/realestate/item/tel-aviv-area/7sb2iydm?opened-from=feed&component-type=main_feed&spot=booster&location=12,sale,45512.82
2950000.0,2.0,60.0,3,תיווך PRIME- LOCATION | נחלת בנימין,https://www.yad2.co.il/realestate/item/tel-aviv-area/rl8o3fao?opened-from=feed&component-type=main_feed&spot=standard&location=13,sale,49166.67
4550000.0,3.0,75.0,1,"שמיאן נדל""ן | גבולות 6",https://www.yad2.co.il/realestate/item/tel-aviv-area/fvjryf6k?opened-from=feed&component-type=main_feed&spot=standard&location=14,sale,60666.67
2950000.0,2.0,54.0,6,תיווך PRIME- LOCATION | אברבנאל 33,https://www.yad2.co.il/realestate/item/tel-aviv-area/w0fpgx8f?opened-from=feed&component-type=main_feed&spot=standard&location=15,sale,54629.63
3890000.0,3.0,90.0,6,"ירד ב-400,000 ₪ | PRO HOUSE",https://www.yad2.co.il/realestate/item/tel-aviv-area/19v6aqmo?opened-from=feed&component-type=main_feed&spot=standard&location=16,sale,43222.22
5890000.0,4.0,114.0,1,אייל ארליך Tel Aviv Realty | המחוגה 13,https://www.yad2.co.il/realestate/item/tel-aviv-area/wfxytdpj?opened-from=feed&component-type=main_feed&spot=standard&location=17,sale,51666.67
