price,rooms,size_sqm,floor,address,link,source,price_per_sqm
4500.0,2.0,76.0,1,"שבזי 36 | יחידת דיור, שאר העיר, קרית עקרון",https://www.yad2.co.il/realestate/item/center-and-sharon/6v3bkoms?opened-from=feed&component-type=main_feed&spot=standard&location=1,rent,59.21
4700.0,3.0,65.0,1,"עמיחי 31 | יחידת דיור, עמיחי, קרית עקרון",https://www.yad2.co.il/realestate/item/center-and-sharon/etk6tqgc?opened-from=feed&component-type=main_feed&spot=standard&location=2,rent,72.31
3400.0,2.5,70.0,1,"מרבד הקסמים 30 | יחידת דיור, נווה יוסף, קרית עקרון",https://www.yad2.co.il/realestate/item/center-and-sharon/b6yr1ps3?opened-from=feed&component-type=main_feed&spot=standard&location=3,rent,48.57
,6.0,180.0,קרקע,לא צוין מחיר | שיבת ציון 2,https://www.yad2.co.il/realestate/item/center-and-sharon/l8a54jvu?opened-from=feed&component-type=main_feed&spot=standard&location=4,rent,
2400.0,1.0,18.0,קרקע,"ירד ב-100 ₪ | רמב""ם 7",https://www.yad2.co.il/realestate/item/center-and-sharon/9e19u55t?opened-from=feed&component-type=main_feed&spot=standard&location=5,rent,133.33
3400.0,2.0,45.0,קרקע,"ירד ב-200 ₪ | רמב""ם 23",https://www.yad2.co.il/realestate/item/center-and-sharon/ljir2prl?opened-from=feed&component-type=main_feed&spot=standard&location=6,rent,75.56
2900.0,1.5,30.0,קרקע,"אחד העם 12 | יחידת דיור, שאר העיר, קרית עקרון",https://www.yad2.co.il/realestate/item/center-and-sharon/ex7sdug4?opened-from=feed&component-type=main_feed&spot=standard&location=7,rent,96.67
2500.0,1.0,25.0,1,"ההדס 8 | יחידת דיור, שאר העיר, קרית עקרון",https://www.yad2.co.il/realestate/item/center-and-sharon/0yuyl5up?opened-from=feed&component-type=main_feed&spot=standard&location=8,rent,100.0
3000.0,1.0,60.0,2,"כובשי החרמון 28 | דירה, שאר העיר, קרית עקרון",https://www.yad2.co.il/realestate/item/center-and-sharon/0kiok6ar?opened-from=feed&component-type=main_feed&spot=standard&location=9,rent,50.0
3700.0,2.0,40.0,קרקע,ירד ב-100 ₪ | ההדס 8,https://www.yad2.co.il/realestate/item/center-and-sharon/dv2rdhe9?opened-from=feed&component-type=main_feed&spot=standard&location=10,rent,92.5
12200.0,5.5,384.0,1,"וייצמן 27 | דו משפחתי, שאר העיר, קרית עקרון",https://www.yad2.co.il/realestate/item/center-and-sharon/l3hpa4nf?opened-from=feed&component-type=main_feed&spot=standard&location=11,rent,31.77
4000.0,2.0,65.0,קרקע,"הזית 1 | יחידת דיור, שאר העיר, קרית עקרון",https://www.yad2.co.il/realestate/item/center-and-sharon/rj9v8hsb?opened-from=feed&component-type=main_feed&spot=standard&location=12,rent,61.54
3100.0,2.0,34.0,קרקע,"האלון 34 | יחידת דיור, שאר העיר, קרית עקרון",https://www.yad2.co.il/realestate/item/center-and-sharon/uv22xtkv?opened-from=feed&component-type=main_feed&spot=standard&location=13,rent,91.18
4500.0,3.0,50.0,קרקע,"הזית 24 | יחידת דיור, שאר העיר, קרית עקרון",https://www.yad2.co.il/realestate/item/center-and-sharon/n6xox8hz?opened-from=feed&component-type=main_feed&spot=standard&location=14,rent,90.0
3500.0,2.0,45.0,1,"הרצל 6 | יחידת דיור, עמיחי, קרית עקרון",https://www.yad2.co.il/realestate/item/center-and-sharon/6o6fdn4q?opened-from=feed&component-type=main_feed&spot=standard&location=15,rent,77.78
4200.0,4.0,89.0,3,"וייצמן 4 | דירה, שאר העיר, קרית עקרון",https://www.yad2.co.il/realestate/item/center-and-sharon/bults3vc?opened-from=feed&component-type=main_feed&spot=standard&location=16,rent,47.19
3800.0,2.0,49.0,קרקע,"הרצל 6 | יחידת דיור, עמיחי, קרית עקרון",https://www.yad2.co.il/realestate/item/center-and-sharon/mrc8qfm2?opened-from=feed&component-type=main_feed&spot=standard&location=17,rent,77.55
2800.0,1.0,27.0,קרקע,"הרב מיימון 48 | יחידת דיור, שאר העיר, קרית עקרון",https://www.yad2.co.il/realestate/item/center-and-sharon/q3k13yxm?opened-from=feed&component-type=main_feed&spot=standard&location=18,rent,103.7
4000.0,3.0,60.0,2,"דרך ירושלים 2 | דירה, שאר העיר, קרית עקרון",https://www.yad2.co.il/realestate/item/center-and-sharon/eyuz3fi2?opened-from=feed&component-type=main_feed&spot=standard&location=19,rent,66.67
,2.0,35.0,קרקע,לא צוין מחיר | משה שרת 2,https://www.yad2.co.il/realestate/item/center-and-sharon/xnkq0vcl?opened-from=feed&component-type=main_feed&spot=standard&location=20,rent,
4300000.0,6.0,163.0,7,פרויקט חדש | BRIZA GATES,https://www.yad2.co.il/yad1/project/center-and-sharon/18799/apartment/1006102?wat=1_0_0_0_22_0_0_22_0_1_61_14_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_16222_r_ws_ListingBasic_1006102,rent,26380.37
,3.0,80.0,קרקע,"דרך ארץ נדל""ן | לא צוין מחיר",https://www.yad2.co.il/realestate/item/center-and-sharon/fgh9bpml?opened-from=feed&component-type=main_feed&spot=standard&location=23,rent,
3000.0,2.0,50.0,1,"פיור נדל""ן | הרצל 17",https://www.yad2.co.il/realestate/item/center-and-sharon/7mhelv12?opened-from=feed&component-type=main_feed&spot=standard&location=24,rent,60.0
6000.0,4.0,164.0,קרקע,תיווך הוגן | שלמה בן יוסף,https://www.yad2.co.il/realestate/item/center-and-sharon/ij2mkpk4?opened-from=feed&component-type=main_feed&spot=standard&location=25,rent,36.59
3800.0,4.0,110.0,4,ירד ב-200 ₪ | לורן נכסים,https://www.yad2.co.il/realestate/item/center-and-sharon/ds1tx9uf?opened-from=feed&component-type=main_feed&spot=standard&location=26,rent,34.55
1000.0,2.0,1000.0,קרקע,"צוות""חן נכסים"" נדל""ן | לא צוין מחיר",https://www.yad2.co.il/realestate/item/center-and-sharon/jo5q0nn3?opened-from=feed&component-type=main_feed&spot=standard&location=27,rent,1.0
3500.0,2.0,40.0,קרקע,"י.א. נדל""ן | רמב""ם",https://www.yad2.co.il/realestate/item/center-and-sharon/7skpn1js?opened-from=feed&component-type=main_feed&spot=standard&location=28,rent,87.5
10650.0,5.0,137.0,7,פרויקט חדש | נווה איילון,https://www.yad2.co.il/yad1/project/center-and-sharon/18713/apartment/1005854?wat=1_0_0_0_22_0_0_30_0_1_55_14_0_77&isRegion=true&site=_inres_x1_l_15230_r_ws_ListingPro_1005854,rent,77.74
,5.0,,,פרויקט חדש | מגדלי כוחות הביטחון – שכירות ארוכת טווח פרשקובסקי בבן שמן לוד,https://www.yad2.co.il/yad1/project/center-and-sharon/18389/apartment/1005064?wat=1_0_0_0_22_0_0_31_0_1_55_14_0_77&isRegion=true&site=_inres_x1_l_15231_r_ws_ListingPro_1005064,rent,
,1.0,18.0,1-17,פרויקט חדש | מעונות סטודנטים רחובות,https://www.yad2.co.il/yad1/project/center-and-sharon/18399/apartment/1005578?wat=1_0_0_0_22_0_0_32_0_1_61_14_0_77&isRegion=true&site=_inres_x1_l_16232_r_ws_ListingBasic_1005578,rent,
