purchase_price,rooms,size_sqm,address,avg_comparable_rent,comparable_rent_count,estimated_gross_yield,link
,6.0,205.0,"דרך ארץ נדל""ן | לא צוין מחיר",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/iyd7fw24?opened-from=feed&component-type=main_feed&spot=platinum&location=1
2485000.0,4.0,123.0,דיור פלוס | דירה,3800.0,1,0.0184,https://www.yad2.co.il/realestate/item/center-and-sharon/nrskjuh3?opened-from=feed&component-type=main_feed&spot=platinum&location=2
2000000.0,3.5,80.0,"שייבה נדל""ן | הנורית",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/t0a7k4kv?opened-from=feed&component-type=main_feed&spot=platinum&location=3
2700000.0,5.5,118.0,"החבצלת 5 | דופלקס, נאות הדרים (חבצלת הצעירה), קרית עקרון",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/nbz60laz?opened-from=feed&component-type=main_feed&spot=standard&location=4
,6.0,,פרויקט במבצע | אתוס ETOS,4300000.0,1,,https://www.yad2.co.il/yad1/project/center-and-sharon/16202/apartment/1001431?wat=1_0_0_0_22_0_0_5_0_1_53_14_0_77&isRegion=true&site=_inres_x1_l_18105_s_ws_Solo_1001431
5900000.0,8.0,710.0,"שלמה בן יוסף 3 | בית פרטי/ קוטג', שאר העיר, קרית עקרון",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/py9w0zvd?opened-from=feed&component-type=main_feed&spot=standard&location=6
1850000.0,4.0,80.0,"הרצל 78 | דירה, שאר העיר, קרית עקרון",4200.0,1,0.0272,https://www.yad2.co.il/realestate/item/center-and-sharon/4ybi0vrw?opened-from=feed&component-type=main_feed&spot=standard&location=7
3200000.0,5.0,208.0,"הנרקיס 3 | דירת גן, נאות הדרים (חבצלת הצעירה), קרית עקרון",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/yxu20rgt?opened-from=feed&component-type=main_feed&spot=standard&location=8
2400000.0,5.5,138.0,"האירוס 5 | דופלקס, נאות הדרים (חבצלת הצעירה), קרית עקרון",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/cmu1w21r?opened-from=feed&component-type=main_feed&spot=standard&location=9
,4.0,100.0,לא צוין מחיר | משה שרת 1,4000.0,2,,https://www.yad2.co.il/realestate/item/center-and-sharon/30ddzi5c?opened-from=feed&component-type=main_feed&spot=standard&location=10
2950000.0,4.0,164.0,"ירד ב-250,000 ₪ | הנרקיס 13",6000.0,1,0.0244,https://www.yad2.co.il/realestate/item/center-and-sharon/v41j8tix?opened-from=feed&component-type=main_feed&spot=standard&location=11
5490000.0,7.0,330.0,"התמר 26 | דו משפחתי, שאר העיר, קרית עקרון",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/d78zt9ej?opened-from=feed&component-type=main_feed&spot=standard&location=12
1850000.0,3.0,78.0,"הנרקיס 7 | דירה, נאות הדרים (חבצלת הצעירה), קרית עקרון",4700.0,1,0.0305,https://www.yad2.co.il/realestate/item/center-and-sharon/bfh2enb1?opened-from=feed&component-type=main_feed&spot=standard&location=13
2000000.0,4.5,100.0,"הרצל 26 | דירה, שאר העיר, קרית עקרון",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/awik9sc7?opened-from=feed&component-type=main_feed&spot=standard&location=14
2850000.0,4.5,185.0,"האירוס 7 | דירת גן, נאות הדרים (חבצלת הצעירה), קרית עקרון",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/ts25lmcb?opened-from=feed&component-type=main_feed&spot=standard&location=15
5500000.0,5.0,700.0,"ירד ב-200,000 ₪ | וייצמן 11",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/i48jx0ml?opened-from=feed&component-type=main_feed&spot=standard&location=16
,4.5,157.0,לא צוין מחיר | דרך ירושלים 24,,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/pn3b1tbt?opened-from=feed&component-type=main_feed&spot=standard&location=17
2000000.0,3.5,86.0,"האירוס 2 | דירה, נאות הדרים (חבצלת הצעירה), קרית עקרון",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/fhwt7a1f?opened-from=feed&component-type=main_feed&spot=standard&location=18
2100000.0,3.5,80.0,"דרך ירושלים 11 | דירה, שאר העיר, קרית עקרון",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/4r9j1t4p?opened-from=feed&component-type=main_feed&spot=standard&location=19
4000000.0,6.0,250.0,"החבצלת 4 | דו משפחתי, נאות הדרים (חבצלת הצעירה), קרית עקרון",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/siigkgkr?opened-from=feed&component-type=main_feed&spot=standard&location=20
4000000.0,3.5,466.0,"שבזי 17 | בית פרטי/ קוטג', שאר העיר, קרית עקרון",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/9qfhvuyo?opened-from=feed&component-type=main_feed&spot=standard&location=21
2500000.0,5.5,127.0,"האירוס 1 | דופלקס, נאות הדרים (חבצלת הצעירה), קרית עקרון",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/ftr23uji?opened-from=feed&component-type=main_feed&spot=standard&location=22
3800000.0,6.0,209.0,"האירוס 20 | טריפלקס, נאות הדרים (חבצלת הצעירה), קרית עקרון",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/giuay56f?opened-from=feed&component-type=main_feed&spot=standard&location=23
2450000.0,5.0,127.0,"האירוס 9 | דופלקס, נאות הדרים (חבצלת הצעירה), קרית עקרון",10650.0,1,0.0522,https://www.yad2.co.il/realestate/item/center-and-sharon/fl7du9zi?opened-from=feed&component-type=main_feed&spot=standard&location=24
4300000.0,6.0,163.0,פרויקט חדש | BRIZA GATES,4300000.0,1,12.0,https://www.yad2.co.il/yad1/project/center-and-sharon/18799/apartment/1006102?wat=1_0_0_0_22_0_0_26_0_1_61_14_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_16126_s_ws_ListingBasic_1006102
2000000.0,3.5,80.0,"2,000,000 ₪ | הנורית",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/9irz799m?opened-from=feed&component-type=main_feed&spot=booster&location=27
2485000.0,4.0,123.0,דיור פלוס | דירה,3800.0,1,0.0184,https://www.yad2.co.il/realestate/item/center-and-sharon/nrskjuh3?opened-from=feed&component-type=main_feed&spot=standard&location=28
,4.0,90.0,"דרך ארץ נדל""ן | לא צוין מחיר",4200.0,1,,https://www.yad2.co.il/realestate/item/center-and-sharon/6yqp1v2e?opened-from=feed&component-type=main_feed&spot=standard&location=29
2000000.0,3.5,80.0,"שייבה נדל""ן | הנורית",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/9irz799m?opened-from=feed&component-type=main_feed&spot=standard&location=30
5300000.0,7.0,420.0,איתי טל איתי | הצנחנים,,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/jdiprkrl?opened-from=feed&component-type=main_feed&spot=standard&location=31
3500000.0,4.0,335.0,"חיים נדל""ן | אלי כהן",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/x5uymbhk?opened-from=feed&component-type=main_feed&spot=standard&location=32
2800000.0,7.0,145.0,ברנהם נכסים | דרך ירושלים,,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/fmuksdvf?opened-from=feed&component-type=main_feed&spot=standard&location=33
4500000.0,6.0,259.0,ויזרע יצחק נכסים | העפרוני,,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/9lnapzkt?opened-from=feed&component-type=main_feed&spot=standard&location=34
,4.0,70.0,"דרך ארץ נדל""ן | לא צוין מחיר",,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/5ojls3z6?opened-from=feed&component-type=main_feed&spot=standard&location=35
2300000.0,3.0,111.0,דיור פלוס | דירה,,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/k12axpki?opened-from=feed&component-type=main_feed&spot=standard&location=36
,5.0,150.0,"דרך ארץ נדל""ן | לא צוין מחיר",10650.0,1,,https://www.yad2.co.il/realestate/item/center-and-sharon/ewg8yngo?opened-from=feed&component-type=main_feed&spot=standard&location=37
4850000.0,10.0,698.0,L נדלן | בית פרטי/ קוטג',,0,,https://www.yad2.co.il/realestate/item/center-and-sharon/65twu0sz?opened-from=feed&component-type=main_feed&spot=standard&location=38
