rooms,avg_sale_price,min_sale_price,max_sale_price,median_sale_price,count_sale
3.0,2517500.0,1850000.0,3480000.0,2370000.0,4
3.5,2350000.0,2000000.0,4000000.0,2000000.0,6
4.0,2663750.0,1850000.0,3500000.0,2617500.0,8
4.5,2425000.0,2000000.0,2850000.0,2425000.0,2
5.0,3836250.0,2450000.0,5500000.0,3697500.0,4
5.5,2497500.0,2390000.0,2700000.0,2450000.0,4
6.0,3608333.33,2280000.0,4500000.0,3900000.0,6
7.0,4530000.0,2800000.0,5490000.0,5300000.0,3
8.0,5325000.0,4750000.0,5900000.0,5325000.0,2
10.0,4850000.0,4850000.0,4850000.0,4850000.0,1
