price,rooms,size_sqm,floor,address,link,source,price_per_sqm
2200.0,2.0,40.0,1,תיווך משכנות | מינץ,https://www.yad2.co.il/realestate/item/south/72zeu2rk?opened-from=feed&component-type=main_feed&spot=platinum&location=1,rent,55.0
1750.0,1.0,25.0,4,גרין השקעות ונכסים | בני אור 38,https://www.yad2.co.il/realestate/item/south/aqx8ptub?opened-from=feed&component-type=main_feed&spot=platinum&location=2,rent,70.0
500.0,,8.0,קרקע,"נדל""ן בזמן | יהודה הלוי",https://www.yad2.co.il/realestate/item/south/utzf65kn?opened-from=feed&component-type=main_feed&spot=platinum&location=3,rent,62.5
5300.0,4.0,130.0,11,"יצחק רגר 49 | דירה, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/gn70dfzb?opened-from=feed&component-type=main_feed&spot=standard&location=4,rent,40.77
3250.0,3.0,64.0,2,"טשרניחובסקי 9 | דירה, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/sr48g2zw?opened-from=feed&component-type=main_feed&spot=standard&location=5,rent,50.78
3200.0,4.0,100.0,3,"בצלאל 28 | דירה, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/5onbdznq?opened-from=feed&component-type=main_feed&spot=standard&location=6,rent,32.0
1998.0,2.0,45.0,2,"בני אור 38 | יחידת דיור, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/cdkv6hhm?opened-from=feed&component-type=main_feed&spot=standard&location=7,rent,44.4
3000.0,4.0,100.0,4,"בני אור 8 | דירה, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/wmmgjb1m?opened-from=feed&component-type=main_feed&spot=standard&location=8,rent,30.0
2500.0,3.5,78.0,2,"בני אור 58 | דירה, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/u49yantr?opened-from=feed&component-type=main_feed&spot=standard&location=9,rent,32.05
2200.0,2.0,35.0,3,"בצלאל 1 | יחידת דיור, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/rsfzq6ze?opened-from=feed&component-type=main_feed&spot=standard&location=10,rent,62.86
2300.0,2.0,50.0,4,"שמעוני 9 | דירה, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/7m01x3p1?opened-from=feed&component-type=main_feed&spot=standard&location=11,rent,46.0
5500.0,5.0,130.0,2,ירד ב-200 ₪ | יהודה הלוי 10,https://www.yad2.co.il/realestate/item/south/ru0s867h?opened-from=feed&component-type=main_feed&spot=standard&location=12,rent,42.31
2500.0,3.0,76.0,3,"בני אור 64 | דירה, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/2n6rt959?opened-from=feed&component-type=main_feed&spot=standard&location=13,rent,32.89
1850.0,1.5,35.0,1,"בני אור 32 | יחידת דיור, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/9ybt051b?opened-from=feed&component-type=main_feed&spot=standard&location=14,rent,52.86
1300.0,4.0,145.0,7,"שמעוני 9 | דירה, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/70tpi8dz?opened-from=feed&component-type=main_feed&spot=standard&location=15,rent,8.97
4200.0,5.0,198.0,1,"משעול לאה גולדברג 10 | דירה, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/w8k0koo4?opened-from=feed&component-type=main_feed&spot=standard&location=16,rent,21.21
1700.0,2.0,20.0,4,ירד ב-500 ₪ | מינץ 26,https://www.yad2.co.il/realestate/item/south/4j6xtoil?opened-from=feed&component-type=main_feed&spot=standard&location=17,rent,85.0
4500.0,4.0,85.0,3,"דרך מצדה 91 | דירה, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/w1cm0isf?opened-from=feed&component-type=main_feed&spot=standard&location=18,rent,52.94
3800.0,4.0,100.0,1,"חיים נחמן ביאליק 63 | דירה, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/5s1oyj3x?opened-from=feed&component-type=main_feed&spot=standard&location=19,rent,38.0
2000.0,2.0,51.0,3,"מינץ 6 | דירה, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/4m1ramxl?opened-from=feed&component-type=main_feed&spot=standard&location=20,rent,39.22
1450.0,2.0,40.0,4,"בני אור 46 | יחידת דיור, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/hs30vv1k?opened-from=feed&component-type=main_feed&spot=standard&location=21,rent,36.25
2800.0,3.0,45.0,3,"דרך שמשון 10 | יחידת דיור, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/j5ydrmry?opened-from=feed&component-type=main_feed&spot=standard&location=22,rent,62.22
2150.0,3.0,50.0,3,"חיים נחמן ביאליק 1 | דירה, שכונה ב', באר שבע",https://www.yad2.co.il/realestate/item/south/50tap9mm?opened-from=feed&component-type=main_feed&spot=standard&location=23,rent,43.0
1800000.0,4.0,,,פרויקט חדש | CENTRAL PARK 17 – סנטרל פארק,https://www.yad2.co.il/yad1/project/south/7244/apartment/1002113?wat=1_0_0_0_22_0_0_24_0_1_61_0_0_77&isRegion=true&matchPrecision=partial&isAbTest=true&site=_inres_x1_l_16224_r_ws_ListingBasic_1002113,rent,
2800.0,2.0,45.0,קרקע,תיווך משכנות | יחידת דיור,https://www.yad2.co.il/realestate/item/south/6gkjhbv0?opened-from=feed&component-type=main_feed&spot=standard&location=26,rent,62.22
1200.0,4.0,70.0,3,"נדל""ן בזמן | בני אור",https://www.yad2.co.il/realestate/item/south/6dzs8c80?opened-from=feed&component-type=main_feed&spot=standard&location=27,rent,17.14
2000.0,2.0,37.0,4,גרין השקעות ונכסים | בני אור 38,https://www.yad2.co.il/realestate/item/south/2dfiaev9?opened-from=feed&component-type=main_feed&spot=standard&location=28,rent,54.05
2200.0,2.0,40.0,4,770 נכסים | דירה,https://www.yad2.co.il/realestate/item/south/6fj24xr4?opened-from=feed&component-type=main_feed&spot=standard&location=29,rent,55.0
895000.0,3.0,55.0,קרקע,Remax Beer Sheva | דרך מצדה 57,https://www.yad2.co.il/realestate/item/south/zpeupicv?opened-from=feed&component-type=main_feed&spot=standard&location=30,rent,16272.73
2300.0,4.0,80.0,3,"מפלסים מובילים בנדל""ן | דירה",https://www.yad2.co.il/realestate/item/south/7ngey8cl?opened-from=feed&component-type=main_feed&spot=standard&location=31,rent,28.75
2200.0,2.0,40.0,1,תיווך משכנות | מינץ,https://www.yad2.co.il/realestate/item/south/72zeu2rk?opened-from=feed&component-type=main_feed&spot=standard&location=32,rent,55.0
2600.0,3.0,48.0,1,אלקו נכסים | בני אור,https://www.yad2.co.il/realestate/item/south/7axdd2sm?opened-from=feed&component-type=main_feed&spot=standard&location=33,rent,54.17
2000.0,2.0,35.0,4,גרין השקעות ונכסים | בני אור 38,https://www.yad2.co.il/realestate/item/south/ilkadvik?opened-from=feed&component-type=main_feed&spot=standard&location=34,rent,57.14
2000.0,2.0,35.0,4,Remax Beer Sheva | מינץ 30,https://www.yad2.co.il/realestate/item/south/6k079198?opened-from=feed&component-type=main_feed&spot=standard&location=35,rent,57.14
1750.0,1.0,25.0,4,גרין השקעות ונכסים | בני אור 38,https://www.yad2.co.il/realestate/item/south/aqx8ptub?opened-from=feed&component-type=main_feed&spot=standard&location=36,rent,70.0
2500.0,2.0,70.0,1,ארץ עיר | דרך מצדה,https://www.yad2.co.il/realestate/item/south/wc0co52q?opened-from=feed&component-type=main_feed&spot=standard&location=37,rent,35.71
1800.0,2.0,30.0,4,גרין השקעות ונכסים | בני אור,https://www.yad2.co.il/realestate/item/south/nengdw2e?opened-from=feed&component-type=main_feed&spot=standard&location=38,rent,60.0
2200.0,2.0,45.0,3,אלקו נכסים | דרך מצדה,https://www.yad2.co.il/realestate/item/south/jvmc64ic?opened-from=feed&component-type=main_feed&spot=standard&location=39,rent,48.89
2200.0,2.5,40.0,1,גרין השקעות ונכסים | הוברמן 4,https://www.yad2.co.il/realestate/item/south/c4kfg48y?opened-from=feed&component-type=main_feed&spot=standard&location=40,rent,55.0
2500.0,3.0,55.0,2,יש בתים גרופ | דרך המשחררים 54,https://www.yad2.co.il/realestate/item/south/bq3dg8ly?opened-from=feed&component-type=main_feed&spot=standard&location=41,rent,45.45
1700.0,2.0,60.0,3,"קבוצת אלרם נדל'ן בע""מ | שכונה ב'",https://www.yad2.co.il/realestate/item/south/j3emcmo8?opened-from=feed&component-type=main_feed&spot=standard&location=42,rent,28.33
3200.0,3.0,72.0,1,Remax Beer Sheva | חיים נחמן ביאליק 13,https://www.yad2.co.il/realestate/item/south/eejqayji?opened-from=feed&component-type=main_feed&spot=standard&location=43,rent,44.44
5400.0,4.0,150.0,9,"real time-זמן לנדל""ן נכון | יעקב כהן",https://www.yad2.co.il/realestate/item/south/axv2vvyq?opened-from=feed&component-type=main_feed&spot=standard&location=44,rent,36.0
2300.0,2.0,45.0,4,ירד ב-100 ₪ | אלקו נכסים,https://www.yad2.co.il/realestate/item/south/7bh4q7wz?opened-from=feed&component-type=main_feed&spot=standard&location=45,rent,51.11
