purchase_price,rooms,size_sqm,address,avg_comparable_rent,comparable_rent_count,estimated_gross_yield,link
650000.0,4.0,80.0,ללא דמי תיווך | בני אור 50,452000.0,4,8.3446,https://www.yad2.co.il/realestate/item/south/ysfo6dhd?opened-from=feed&component-type=main_feed&spot=platinum&location=1
2025000.0,5.0,200.0,ארץ עיר | יעקב כהן,4200.0,1,0.0249,https://www.yad2.co.il/realestate/item/south/5ms3b7u6?opened-from=feed&component-type=main_feed&spot=platinum&location=2
1050000.0,3.0,58.0,"ליצ'י נדל""ן | חיים נחמן ביאליק 6",181100.0,5,2.0697,https://www.yad2.co.il/realestate/item/south/owr9ptfr?opened-from=feed&component-type=main_feed&spot=platinum&location=3
2720000.0,6.0,430.0,"חז""ל 84 | בית פרטי/ קוטג', שכונה ב', באר שבע",,0,,https://www.yad2.co.il/realestate/item/south/weztbt47?opened-from=feed&component-type=main_feed&spot=standard&location=4
,3.0,,פרויקט חדש | מגדלי אמלוני,114250.0,8,,https://www.yad2.co.il/yad1/project/south/16251/apartment/1001546?wat=1_0_0_0_22_0_0_5_0_1_53_0_0_77&isRegion=true&site=_inres_x1_l_18105_s_ws_Solo_1001546
1350000.0,3.0,97.0,"איינשטיין 12 | דירת גן, שכונה ב', באר שבע",,0,,https://www.yad2.co.il/realestate/item/south/8vs60ydf?opened-from=feed&component-type=main_feed&spot=standard&location=6
599999.0,3.0,75.0,"דרך מצדה 115 | דירה, שכונה ב', באר שבע",2983.33,3,0.0597,https://www.yad2.co.il/realestate/item/south/w6kg8e39?opened-from=feed&component-type=main_feed&spot=standard&location=7
2600000.0,5.0,189.0,"יצחק למדן 15 | דירה, שכונה ב', באר שבע",4200.0,1,0.0194,https://www.yad2.co.il/realestate/item/south/5ar4rith?opened-from=feed&component-type=main_feed&spot=standard&location=8
,4.0,152.0,לא צוין מחיר | יהודה הלוי 12,453000.0,4,,https://www.yad2.co.il/realestate/item/south/dc0q6p15?opened-from=feed&component-type=main_feed&spot=standard&location=9
1835000.0,5.0,158.0,"יהודה הלוי 8 | דירה, שכונה ב', באר שבע",5500.0,1,0.036,https://www.yad2.co.il/realestate/item/south/8lp7pnbl?opened-from=feed&component-type=main_feed&spot=standard&location=10
1690000.0,4.0,138.0,"בצלאל 31 | דירה, שכונה ב', באר שבע",453000.0,4,3.2166,https://www.yad2.co.il/realestate/item/south/bf71avle?opened-from=feed&component-type=main_feed&spot=standard&location=11
1200000.0,3.0,160.0,"מנדלסון 7 | דירה, שכונה ב', באר שבע",,0,,https://www.yad2.co.il/realestate/item/south/pj5z8s75?opened-from=feed&component-type=main_feed&spot=standard&location=12
840000.0,4.0,83.0,"בני אור 15 | דירה, שכונה ב', באר שבע",452000.0,4,6.4571,https://www.yad2.co.il/realestate/item/south/ho89siqk?opened-from=feed&component-type=main_feed&spot=standard&location=13
2350000.0,5.0,145.0,"יצחק רגר 49 | דירה, שכונה ב', באר שבע",5500.0,1,0.0281,https://www.yad2.co.il/realestate/item/south/hr1o507s?opened-from=feed&component-type=main_feed&spot=standard&location=14
1375000.0,3.0,104.0,"חיים הזז 4 | דירה, שכונה ב', באר שבע",,0,,https://www.yad2.co.il/realestate/item/south/bnssu6y9?opened-from=feed&component-type=main_feed&spot=standard&location=15
680000.0,4.0,85.0,"דרך מצדה 91 | דירה, שכונה ב', באר שבע",259714.29,7,4.5832,https://www.yad2.co.il/realestate/item/south/fphc8tv9?opened-from=feed&component-type=main_feed&spot=standard&location=16
1149999.0,3.0,75.0,"חיים נחמן ביאליק 43 | דירה, שכונה ב', באר שבע",2983.33,3,0.0311,https://www.yad2.co.il/realestate/item/south/c11zab52?opened-from=feed&component-type=main_feed&spot=standard&location=17
,4.0,140.0,לא צוין מחיר | בצלאל 29,453000.0,4,,https://www.yad2.co.il/realestate/item/south/3y4bk9ev?opened-from=feed&component-type=main_feed&spot=standard&location=18
